target_contrast_gene_name,Rest,Stim8hr,Stim48hr
WDR82,-18.74731208425747,-20.873010958667248,-14.841124596088736
WDR83,-3.853744147951912,-5.793962987803768,-7.513289595210722
WDR83OS,-4.573578067109524,-7.246336678420972,-9.28501959724851
WDR86,0.0,0.0,0.0
WDR88,0.0,0.0,0.0
WDR89,-9.70708811930263,-15.481976190267789,-12.07237352326724
WDR90,-5.878382229006538,-6.415718953313129,-6.286287975085809
WDR91,-8.059493798144096,-9.371271087038446,-8.79989280667207
WDSUB1,-7.62505194617139,-9.013031250534851,-8.400274098164724
WDTC1,-4.009439269144758,,
WFDC2,0.0,0.0,0.0
WHAMM,-10.342938338749214,-9.613550148581254,-7.513765630349582
WHRN,-1.8481592626340144,-2.889204766681474,-3.099085253484688
WIPF1,-0.1297782237829895,1.2071048676327252,0.6202653418681012
WIPF2,-13.090472368498943,-14.662468653126504,-18.359365168193204
WIPI1,-11.07564405267871,-7.964710319109134,-20.02230633022716
WIPI2,-12.955892733964204,-12.330762846284884,-11.145370667174356
WIZ,-13.882706143751149,-20.716349288489024,-10.517760345331128
WNK1,-17.545526920051678,-19.935042867733213,-13.985889197571916
WNT1,0.0,0.0,0.0
WNT10A,0.0,0.0,0.0
WNT10B,-1.3004786995555695,-0.2510095294285039,-1.8840578912227548
WNT16,0.0,0.0,0.0
WNT2B,0.0,0.0,0.0
WNT7A,0.0,0.0,0.0
WNT9A,0.0,0.0,0.0
WRAP53,-9.680296402061185,-10.972806778532924,-13.19094860039483
WRAP73,-4.736842490258095,-5.394034202171488,-6.301740172657871
WRN,-16.164988900252293,-23.810426731411763,-15.89921831873746
WRNIP1,-12.73757122615805,-15.828844862404964,-13.858399415733192
WSB1,-15.162681620289034,-14.705601627947186,-24.96683323466685
WSB2,-16.0366028400609,-20.905513036931865,-26.523164626147945
WT1,0.0,0.0,0.0
WTAP,-4.197067578293214,-5.970175763091179,-2.5859208344463243
WWC1,0.0,0.0,0.0
WWC2,0.0,0.0,0.0
WWC3,-3.721396552444341,-6.399731025136723,-5.5019732678091735
WWOX,-13.783378156949023,-10.953260487845284,-12.895028745607725
