target_contrast_gene_name,Rest,Stim8hr,Stim48hr
ARID4B,8.0,242.0,18.0
ARID5A,15.0,6.0,10.0
ARID5B,6.0,61.0,50.0
ARIH1,434.0,601.0,871.0
ARIH2,2.0,13.0,61.0
ARIH2OS,1.0,6.0,5.0
ARK2N,27.0,11.0,14.0
ARL1,1.0,10.0,137.0
ARL10,3.0,1.0,2.0
ARL13A,0.0,1.0,0.0
ARL13B,2.0,2.0,1.0
ARL14,0.0,0.0,0.0
ARL14EP,15.0,6.0,31.0
ARL15,1.0,2.0,4.0
ARL16,0.0,8.0,1.0
ARL17A,,0.0,3.0
ARL17B,1.0,8.0,0.0
ARL2BP,1.0,1.0,2.0
ARL3,2.0,2.0,2.0
ARL4A,1.0,3.0,4.0
ARL4C,3.0,2.0,4.0
ARL4D,15.0,31.0,
ARL5A,1.0,1.0,2.0
ARL5B,57.0,60.0,72.0
ARL6,0.0,2.0,1.0
ARL6IP1,1.0,1.0,118.0
ARL6IP4,1.0,1.0,1.0
ARL6IP5,3.0,1.0,3.0
ARL6IP6,6.0,5.0,4.0
ARL8A,1.0,1.0,5.0
ARL8B,17.0,17.0,24.0
ARL9,3.0,0.0,0.0
ARMC1,2.0,1.0,1.0
ARMC10,1.0,3.0,3.0
ARMC12,1.0,0.0,0.0
ARMC2,5.0,4.0,4.0
ARMC5,3.0,2.0,3.0
ARMC6,4.0,4.0,3.0
ARMC7,0.0,5.0,71.0
ARMC8,37.0,85.0,63.0
ARMCX2,0.0,0.0,4.0
ARMCX3,4.0,10.0,8.0
ARMCX4,0.0,1.0,1.0
ARMCX5,1.0,2.0,3.0
ARMCX6,2.0,12.0,3.0
ARMH1,0.0,0.0,0.0
ARMH2,0.0,0.0,3.0
ARMH3,116.0,7.0,13.0
ARMT1,4.0,2.0,3.0
ARNT,2320.0,2643.0,2947.0
ARNT2,3.0,1.0,0.0
ARPC1A,1.0,1.0,3.0
ARPC1B,4.0,44.0,65.0
ARPC2,216.0,1039.0,856.0
ARPC3,148.0,906.0,720.0
ARPC4-TTLL3,289.0,645.0,65.0
ARPC5,4.0,6.0,3.0
ARPC5L,7.0,8.0,4.0
ARRB1,1.0,3.0,15.0
ARRB2,15.0,,11.0
ARRDC1,5.0,2.0,2.0
ARRDC2,0.0,1.0,0.0
ARRDC3,4.0,1.0,2.0
ARRDC4,458.0,621.0,1278.0
ARSA,5.0,3.0,1.0
ARSB,2.0,5.0,4.0
ARSG,0.0,0.0,1.0
ARSK,10.0,85.0,10.0
ARV1,7.0,4.0,5.0
ARX,1.0,1.0,0.0
ASAH1,2.0,3.0,2.0
ASAH2B,11.0,15.0,10.0
ASAP2,7.0,4.0,18.0
ASAP3,0.0,0.0,0.0
ASB1,4.0,5.0,5.0
ASB13,12.0,13.0,8.0
ASB14,1.0,0.0,0.0
