gene,is_ctx_specific,delivery_modality,polarity,kinetic_archetype,avoid_tier,n_avoid_flags,avoid_flags,n_concept_modules,stimulation_gated,ctx_specific_de,de_Rest,de_Stim8hr,de_Stim48hr,loeuf,pli,breadth_max_de
RNFT2,True,CAR-T / ADC / antibody (surface + ectodomain),mixed,late_sustained,clear,0,,0,True,1075.0,29.0,35.0,1104.0,0.803,1.2018e-05,1104.0
RPTOR,True,Small molecule (intracellular pocket),repressor,early_transient,high_risk,2,High constraint (LOEUF 0.10); Dosage-sensitive (pLI 1.00),1,False,517.0,639.0,1029.0,122.0,0.101,1.0,1029.0
RPUSD3,True,Awaiting modality (no known delivery route),mixed,late_sustained,clear,0,,0,True,1225.0,13.0,1.0,1238.0,1.1,2.2032e-07,1238.0
RRAGC,True,Awaiting modality (no known delivery route),mixed,late_sustained,high_risk,2,High constraint (LOEUF 0.30); Dosage-sensitive (pLI 0.98),0,True,1270.0,49.0,88.0,1319.0,0.3,0.97538,1319.0
SLC3A2,True,CAR-T / ADC / antibody (surface + ectodomain),repressor,early_transient,caution,1,Pleiotropy (breadth top 10%),0,True,2489.0,3.0,2492.0,52.0,0.8854389501607435,1.514479054207042e-07,2492.0
SMARCA4,True,Small molecule (intracellular pocket),mixed,late_sustained,high_risk,2,High constraint (LOEUF 0.06); Dosage-sensitive (pLI 1.00),1,False,261.0,40.0,165.0,301.0,0.055,1.0,301.0
STAT3,True,Small molecule (intracellular pocket),mixed,late_sustained,avoid,3,Pleiotropy (breadth top 10%); High constraint (LOEUF 0.10); Dosage-sensitive (pLI 1.00),1,False,668.0,925.0,1370.0,1593.0,0.095,1.0,1593.0
STAT5A,True,Awaiting modality (no known delivery route),mixed,late_sustained,high_risk,2,High constraint (LOEUF 0.20); Dosage-sensitive (pLI 1.00),1,False,252.0,9.0,19.0,261.0,0.202,0.99994,261.0
STAT6,True,Small molecule (intracellular pocket),mixed,late_sustained,high_risk,2,High constraint (LOEUF 0.30); Dosage-sensitive (pLI 0.99),1,True,1125.0,3.0,233.0,1128.0,0.296,0.98849,1128.0
TBX21,True,Awaiting modality (no known delivery route),mixed,late_sustained,high_risk,2,High constraint (LOEUF 0.23); Dosage-sensitive (pLI 1.00),1,False,363.0,40.0,308.0,403.0,0.226,0.99636,403.0
TFB1M,True,Awaiting modality (no known delivery route),mixed,late_sustained,clear,0,,0,True,865.0,1.0,7.0,866.0,1.4,6.3927e-10,866.0
TMX1,True,CAR-T / ADC / antibody (surface + ectodomain),mixed,stim_switch,caution,1,Pleiotropy (breadth top 10%),0,True,2346.0,1.0,2347.0,1960.0,0.953116590555264,2.0870547825830695e-06,2347.0
UBE2E2,True,Awaiting modality (no known delivery route),repressor,early_transient,high_risk,2,Pleiotropy (breadth top 10%); Dosage-sensitive (pLI 0.99),0,True,1520.0,4.0,1524.0,128.0,0.4786828092559536,0.9869808341742088,1524.0
UBE2V2,True,Awaiting modality (no known delivery route),mixed,late_sustained,clear,0,,0,True,1401.0,43.0,32.0,1444.0,1.246,0.03351,1444.0
VAV1,True,Small molecule (intracellular pocket),mixed,other,avoid,3,Pleiotropy (breadth top 10%); High constraint (LOEUF 0.34); Dosage-sensitive (pLI 1.00),1,False,4828.0,70.0,4898.0,3575.0,0.3444029706478581,0.9999999998734816,4898.0
VPS8,True,Awaiting modality (no known delivery route),repressor,late_sustained,clear,0,,0,True,535.0,2.0,4.0,537.0,0.458,5.1131e-08,537.0
ZNF837,True,Awaiting modality (no known delivery route),mixed,late_sustained,clear,0,,0,True,758.0,0.0,0.0,758.0,1.678,1.3275e-06,758.0
