,regulator_gene_id,regulator_label
278,ENSG00000141968,general_regulator
279,ENSG00000083168,general_regulator
280,ENSG00000065615,general_regulator
281,ENSG00000167286,general_regulator
282,ENSG00000113263,general_regulator
283,ENSG00000126698,general_regulator
284,ENSG00000172175,general_regulator
285,ENSG00000120942,general_regulator
286,ENSG00000116514,general_regulator
287,ENSG00000276045,general_regulator
288,ENSG00000159753,general_regulator
289,ENSG00000213658,general_regulator
290,ENSG00000133103,general_regulator
