gene,max_score
SOCS1,0.835608933860869
SIAE,0.8353472940792857
IFNLR1,0.8345978309613666
IL18RAP,0.8345198157310743
BANK1,0.834324473801506
TPO,0.8341766290599196
CEP128,0.8341147957388392
FAM8A1,0.8340754214383418
EEFSEC,0.8339184211350966
TNIP1,0.8334732967727781
TNFSF14,0.8334524957162278
P4HA2,0.8328632268869394
SLC25A46,0.8327218381118741
DAP,0.8311861172711996
IL17REL,0.8308869220415339
TREH,0.8308236246054514
DENND1B,0.8301289003287857
HDAC7,0.8300031196881914
SOX4,0.8294168449458487
RORC,0.8291433975632168
CDYL2,0.8286436767260967
MUC19,0.8284017763828926
TRIM22,0.8274613634158176
TNFSF8,0.8269545208910992
TNFRSF11A,0.8268728750138601
PACSIN1,0.8249924730627736
PADI4,0.8243468614790442
CDC42SE2,0.8236362099768126
NR5A2,0.823323601105937
MAF,0.8233190243011961
ZNF831,0.8226902617453256
FGF7,0.8220927532681791
CAMK2G,0.8220646062616217
CBLB,0.8219748211854291
USP8,0.8215648507972552
RIN3,0.8214808979760357
PRDM1,0.8212075562198526
KSR1,0.8204248899033902
ZBTB10,0.819598206534595
POLI,0.8194090160696781
C12orf42,0.8193943198052964
CD44,0.8183801478902629
NFIA,0.8167395786123204
CCN4,0.8159418861440478
IAH1,0.8151725404490521
PDE10A,0.8145092062791995
EOMES,0.8134393954607662
ZNF217,0.8133535283882875
ATP2C1,0.8131705503392905
IL19,0.8131442103939506
FOXO1,0.8130275946897908
GNA12,0.812991753404984
IKZF1,0.8124178779155137
FAM76B,0.8117399642053523
NR3C2,0.8116665641271754
VAV3,0.8113660692120829
IRF8,0.8108945232369611
PRDM11,0.8097054147163598
CENPW,0.8092895898361802
MGAT5,0.8073189296902977
SAMHD1,0.8066310620195937
SLC39A8,0.8064454918438236
STAT6,0.8063445470245679
MYC,0.8063398972140502
GADD45G,0.8061165337980747
ZNF438,0.8059156255114207
NEK6,0.8055889245771162
PUS10,0.805475774118755
TLR3,0.8054374848522283
CCL7,0.804154019763831
FAM167A,0.804002578037761
ICOSLG,0.8030251705123274
MBIP,0.8029126779851753
ADAMTSL3,0.8028350478699197
IQCH,0.8027217172746932
BLTP3A,0.8026839066346754
RIPK1,0.8007968431539079
MECOM,0.8004229337797367
NXPE1,0.8003808709305421
SKAP2,0.7996382469546743
CTRB2,0.7993703251950267
TUBD1,0.7993034513049948
USP25,0.7987121737039172
POMC,0.7985382928269303
ZNF652,0.7982795098033583
CD86,0.7975596330841812
AARS2,0.796478447365083
