hdbscan,cluster_gene_size,corr_rest,corr_stim8hr,corr_stim48hr,corr_shared,corr_max,corr_std,corr_cov,corr_min,corr_mean,condition_specificity
18,2,0.3923598065404325,0.4932205487442989,0.5554513813868661,0.3625196702001203,0.5554513813868661,0.08230474635482438,0.17134545532965134,0.3923598065404325,0.4803439122238659,across_condition
19,6,0.2074118610788201,0.19939560558610242,0.1833353840716138,0.11518661011024495,0.2074118610788201,0.01226015097988536,0.06232466070503388,0.1833353840716138,0.19671428357884543,across_condition
20,3,0.3625208344219886,0.27371662107758116,0.3244298480390779,0.2323212071153437,0.3625208344219886,0.044551361633120345,0.13912629732170761,0.27371662107758116,0.32022243451288257,across_condition
21,135,0.03350484193268546,0.2508759650923638,0.11301894355405281,0.0713760208017446,0.2508759650923638,0.10998276829255839,0.8302680220530216,0.03350484193268546,0.13246658352636734,Stim8hr
22,11,0.17206781472321642,0.9002150295481782,0.6201429674133739,0.2963603548986867,0.9002150295481782,0.36728963795713476,0.6510589157078152,0.17206781472321642,0.5641419372282561,Stim8hr_Stim48hr
23,4,0.28849869005652384,0.3434997037663992,0.20409895873579187,0.17415918154028034,0.3434997037663992,0.07021513829084394,0.2519388612197995,0.20409895873579187,0.2786991175195716,across_condition
24,7,0.11058842940510816,0.22876910275840287,0.11544253539788096,0.11691029516710127,0.22876910275840287,0.06687444051971093,0.4411242123046767,0.11058842940510816,0.151600022520464,across_condition
25,14,0.18042577592551365,0.0771020535452828,0.0805450054708636,0.04639865140872087,0.18042577592551365,0.05868533864473501,0.520763568491347,0.0771020535452828,0.11269094498055336,Rest
26,23,0.18350073973968228,0.03400056014431967,0.024623304586057337,0.029672100746200646,0.18350073973968228,0.08914433616505027,1.104526361872575,0.024623304586057337,0.08070820149001977,Rest
27,215,0.3874616734625326,0.0874579371430095,0.043984120189526785,0.06893005356382521,0.3874616734625326,0.18702452787829257,1.0812671991685159,0.043984120189526785,0.17296791026502298,Rest
28,49,0.295268075760537,0.37806008357562937,0.4156562693648038,0.15783483621658123,0.4156562693648038,0.0615918107425098,0.16967683591944896,0.295268075760537,0.3629948095669901,across_condition
29,4,0.24342648804732978,0.1054280074090314,0.08787597238672988,0.09154358482903073,0.24342648804732978,0.08519352236152448,0.5852135033006185,0.08787597238672988,0.1455768226143637,Rest
30,87,0.22497350929924798,0.1912298452075928,0.0663446240441697,0.04778876778720133,0.22497350929924798,0.08356442282119463,0.519519881145006,0.0663446240441697,0.16084932618367015,Rest
31,12,0.25017287815271194,0.3036209202712786,0.41401639969723325,0.17752080633779488,0.41401639969723325,0.08355492668110048,0.2590020032129319,0.25017287815271194,0.3226033993737413,across_condition
32,11,0.25150174717702645,0.36115155966906815,0.3725199055346245,0.1912249099426288,0.3725199055346245,0.06683027672086393,0.20350820306826647,0.25150174717702645,0.32839107079357305,across_condition
33,13,0.3962217761881443,0.42842397973617363,0.27355318881551877,0.21671154919640687,0.42842397973617363,0.0817205870856434,0.22323984413863107,0.27355318881551877,0.36606631491327885,across_condition
