gene,delivery_modality,polarity,up_frac,n_concept_modules,stimulation_gated,ctx_specific_de,de_Rest,de_Stim8hr,de_Stim48hr,loeuf,druggability_tractability,is_surface_protein,has_extracellular_domain,extracellular_length,druggable_pathway,is_ctx_specific
CDK2,小分子 (胞內可成藥口袋),mixed,0.6370370370370371,0,False,346.0,1.0,58.0,347.0,,,False,False,,CLINICALLY ACTIONABLE;DNA REPAIR;DRUGGABLE GENOME;ENZYME;KINASE;SERINE THREONINE KINASE;TRANSCRIPTION FACTOR COMPLEX,False
CDK5RAP3,待新模態 (無已知遞送方式),repressor,0.6933962264150944,0,False,108.0,132.0,240.0,52.0,,,,,,,False
CDKN2AIP,待新模態 (無已知遞送方式),mixed,0.4,0,False,11.0,113.0,102.0,120.0,,,,,,,False
CEP104,待新模態 (無已知遞送方式),mixed,0.5344827586206896,0,False,54.0,58.0,4.0,7.0,,,,,,,False
CEP135,待新模態 (無已知遞送方式),mixed,0.44,0,False,123.0,2.0,38.0,125.0,,,False,False,,,False
CEP43,小分子 (胞內可成藥口袋),repressor,0.6678383128295254,0,False,766.0,995.0,229.0,483.0,,,False,False,,CLINICALLY ACTIONABLE,False
CEP44,待新模態 (無已知遞送方式),activator,0.2361111111111111,0,False,70.0,72.0,2.0,3.0,,,,,,,False
CEP89,待新模態 (無已知遞送方式),mixed,0.4090909090909091,0,False,145.0,31.0,49.0,176.0,,,,,,,False
CFAP20,待新模態 (無已知遞送方式),mixed,0.5917273075450019,0,False,838.0,455.0,863.0,1293.0,,,,,,,False
CFAP298,待新模態 (無已知遞送方式),mixed,0.5277196652719666,0,False,,487.0,1425.0,,,,,,,,False
CFAP97,待新模態 (無已知遞送方式),mixed,0.6306156405990017,0,False,600.0,601.0,1.0,3.0,,,,,,,False
CHD4,小分子 (胞內可成藥口袋),repressor,0.6589023611997448,0,False,783.0,1200.0,1517.0,417.0,,,False,False,,CLINICALLY ACTIONABLE;ENZYME,False
CHD7,待新模態 (無已知遞送方式),repressor,0.7483559842174485,0,False,1024.0,1254.0,2278.0,1030.0,,,False,False,,,False
CHIC2,小分子 (胞內可成藥口袋),activator,0.3208955223880597,0,False,43.0,32.0,75.0,59.0,,,False,False,,CLINICALLY ACTIONABLE,False
CHMP1A,小分子 (胞內可成藥口袋),mixed,0.6057838660578386,0,False,563.0,570.0,87.0,7.0,,,False,False,,DRUGGABLE GENOME;ENZYME;NEUTRAL ZINC METALLOPEPTIDASE,False
CHMP4A,待新模態 (無已知遞送方式),repressor,0.7,0,False,59.0,41.0,100.0,20.0,,,,,,,False
CHTF18,待新模態 (無已知遞送方式),mixed,0.5111111111111111,0,False,722.0,136.0,86.0,858.0,,,False,False,,,False
CIT,小分子 (胞內可成藥口袋),mixed,0.3671875,0,False,39.0,74.0,54.0,35.0,,,False,False,,DRUGGABLE GENOME;ENZYME;KINASE;SERINE THREONINE KINASE,False
