"search_term","nctId","status","phases","title","conditions","interventions","url"
"teplizumab","NCT00920582","TERMINATED","PHASE3","Protege Encore Study- Clinical Trial of Teplizumab (MGA031) in Children and Adults With Recent-Onset Type 1 Diabetes Mellitus","Type 1 Diabetes Mellitus","Teplizumab Herold Regimen; Placebo; Teplizumab 33.3% Herold Regimen; Teplizumab Curtailed Herold Regimen","https://clinicaltrials.gov/study/NCT00920582"
"teplizumab","NCT01189422","TERMINATED","PHASE1","Subcutaneous Administration of Teplizumab in Adults With Type 1 Diabetes","Type 1 Diabetes Mellitus","teplizumab or placebo","https://clinicaltrials.gov/study/NCT01189422"
"teplizumab","NCT03751007","COMPLETED","PHASE1;PHASE2","A Study to Assess the Safety and Tolerability of Different Doses of AG019 Administered Alone or in Combination With Teplizumab in Participants With Recent-onset Diagnosed Type 1 Diabetes (T1D)","Diabetes type1","AG019 - Low Dose; Teplizumab; Placebo-AG019; Placebo-Teplizumab; AG019 - High Dose; AG019 - High Dose","https://clinicaltrials.gov/study/NCT03751007"
"teplizumab","NCT06338553","RECRUITING","EARLY_PHASE1","GLP-1Ra Impact on Metabolic Outcomes in Stage 2 T1DM While Receiving Teplizumab","Type 1 Diabetes","Semaglutide (RybelsusÂ®); Placebo","https://clinicaltrials.gov/study/NCT06338553"
"teplizumab","NCT07088068","RECRUITING","PHASE3","A Study to Investigate Efficacy and Safety of Teplizumab Compared With Placebo in Participants 1 to 25 Years of Age With Stage 3 Type 1 Diabetes","Type 1 Diabetes Mellitus","Teplizumab; Placebo","https://clinicaltrials.gov/study/NCT07088068"
"teplizumab","NCT07260110","RECRUITING","","A Longitudinal, Observational Study Comparing Real-World Experiences of Teplizumab-Treated and Untreated Participants With Stage 2 Type 1 Diabetes in the United States","Type 1 Diabetes","Teplizumab","https://clinicaltrials.gov/study/NCT07260110"
"teplizumab","NCT07360080","RECRUITING","","Long-Term Outcomes of Teplizumab in Routine Clinical Care","Type 1 Diabetes","Teplizumab","https://clinicaltrials.gov/study/NCT07360080"
"tofacitinib","NCT01184001","COMPLETED","PHASE1","A Study To Evaluate The Effect Of Food On How Tasocitinib (CP-690,550) Is Absorbed And Moves Through The Body Following Oral Administration Of Tasocitinib (CP-690,550) Tablets To Healthy Subjects","Rheumatoid Arthritis","Treatment A; Treatment B; Treatment B; Treatment A","https://clinicaltrials.gov/study/NCT01184001"
"tofacitinib","NCT02592434","COMPLETED","PHASE3","Efficacy Study Of Tofacitinib In Pediatric JIA Population","Juvenile Idiopathic Arthritis","CP-690,550 (tofacitinib); placebo","https://clinicaltrials.gov/study/NCT02592434"
"tofacitinib","NCT03103412","COMPLETED","PHASE1","TD-3504 SAD in Healthy Subjects and Subjects With Ulcerative Colitis (UC)","Active Mild Ulcerative Colitis, Active Moderate Ulcerative Colitis, Healthy Subjects","TD-3504; 15N2-tofacitinib; Placebo","https://clinicaltrials.gov/study/NCT03103412"
"tofacitinib","NCT03681275","RECRUITING","PHASE2","Janus Kinase Inhibition to Prevent Ventilator-induced Diaphragm Dysfunction","Diaphragm Injury","Tofacitinib 10 MG [Xeljanz]; Placebo to match Tofacitinib","https://clinicaltrials.gov/study/NCT03681275"
"tofacitinib","NCT03992781","COMPLETED","","Changes of Depression After First-year of Tofacitinib in RA Patients","Rheumatoid Arthritis","","https://clinicaltrials.gov/study/NCT03992781"
