target_contrast_gene_name,max_de,mean_de,conditions_with_gt10,max_cells,any_offtarget,ontarget_sig_conditions,target_class
IFNGR1,110,38.0,1,412.0,False,3,cytokine_receptor
GRK6,104,36.0,1,1941.0,False,3,kinase
PKN1,102,34.666666666666664,1,269.0,False,3,kinase
PTGER3,100,36.333333333333336,1,228.0,False,1,gpcr
SLC35D2,89,30.666666666666668,1,472.0,False,3,transporter
IFNLR1,86,31.0,1,182.0,False,1,cytokine_receptor
PKN3,86,29.666666666666668,1,772.0,False,3,kinase
ATP2A3,80,31.0,1,416.0,False,3,transporter
SLC25A32,76,27.0,1,315.0,False,3,transporter
TESK2,71,29.0,1,1696.0,False,3,kinase
RARB,71,24.666666666666668,1,549.0,False,0,nuclear_receptor
IFNGR2,70,25.333333333333332,1,603.0,False,2,cytokine_receptor
GRIN3A,68,23.666666666666668,1,530.0,False,0,ion_channel
NEK1,67,23.0,1,894.0,False,3,kinase
MARK2,66,23.333333333333332,1,523.0,False,3,kinase
CSH1,65,21.666666666666668,1,630.0,False,0,cytokine
SLC35A2,64,27.0,1,388.0,False,1,transporter
NEK3,62,21.333333333333332,1,365.0,False,2,kinase
ATP6V1E1,51,19.666666666666668,1,145.0,False,3,transporter
SLC39A13,51,17.666666666666668,1,235.0,False,1,transporter
OPRM1,48,18.333333333333332,1,391.0,False,0,gpcr
TNFRSF1A,47,19.0,1,400.0,False,3,cytokine_receptor
LRRC8D,46,19.0,1,587.0,False,3,ion_channel
PTK6,45,17.0,1,404.0,False,0,kinase
SRPK1,44,16.666666666666668,1,552.0,False,3,kinase
SLC35E2B,44,14.666666666666666,1,521.0,False,0,transporter
NPC1,43,18.0,1,183.0,False,3,transporter
SLC18A2,43,16.333333333333332,1,334.0,False,0,transporter
ATP6V0A2,40,23.5,1,140.0,False,2,transporter
SGK3,40,15.333333333333334,1,229.0,False,1,kinase
SLC22A15,39,16.0,1,653.0,False,0,transporter
SLC16A5,38,19.0,1,452.0,False,1,transporter
EPHB4,37,37.0,1,98.0,False,0,kinase
CHRNB1,36,15.666666666666666,1,183.0,False,1,ion_channel
ABCC4,35,12.333333333333334,1,382.0,False,3,transporter
ATP5F1C,34,34.0,1,34.0,False,0,transporter
VRK2,30,14.333333333333334,1,270.0,False,3,kinase
ATP5F1D,30,13.333333333333334,1,302.0,False,3,transporter
NR4A1,30,11.666666666666666,1,508.0,False,1,nuclear_receptor
CD40LG,29,12.0,1,243.0,False,3,cytokine
KCNA6,26,9.0,1,80.0,False,0,ion_channel
IL2RA,25,15.0,1,351.0,False,3,cytokine_receptor
PLK4,25,14.0,1,120.0,False,0,kinase
