target_contrast_gene_name,culture_condition,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,target_baseMean,offtarget_flag,crossdonor_correlation_mean,crossguide_correlation
RTRAF,Stim8hr,163.0,1369,918,2287,-12.83220507213412,True,175.21910618793297,False,0.6584232269486933,0.7348877300888735
UFM1,Stim8hr,712.0,1032,1247,2279,-32.61166047102845,True,247.1373231899076,False,0.6349458914334464,0.7361136014817069
CHD7,Stim8hr,569.0,1658,620,2278,-15.66791744343354,True,73.0475124458421,False,0.5123846653760314,0.0420680899742332
CCNC,Stim8hr,3668.0,1441,830,2271,-41.36951285831497,True,129.00128906373314,False,0.3101490193323785,0.2606274805231479
PTPRC,Stim8hr,355.0,1534,721,2255,-17.588072240250213,True,140.67422962322718,False,0.6511569171045947,
TSPYL5,Stim8hr,278.0,1624,609,2233,-2.499216483236629,True,2.8219024885364488,False,0.4243033721384048,
PDSS2,Stim8hr,339.0,1235,992,2227,-7.467092318704326,True,24.972265888056164,False,0.5295542666361168,0.6561172172320633
MAX,Stim8hr,1309.0,1367,856,2223,-18.59104351892798,True,168.63157987266294,False,0.5725178259619729,0.7686436511925461
PLCG1,Stim48hr,267.0,1423,795,2218,-10.809409368912435,True,151.18522604271857,False,0.6281746117223518,0.7576981721677929
TAF13,Rest,671.0,1041,1149,2190,-17.35612012400698,True,53.75488144695723,False,0.6453323862383107,0.8316537775317971
ZMYM2,Rest,580.0,1462,716,2178,-13.08861999251485,True,43.86956248534907,False,0.0999496649864374,
