target_contrast_gene_name,culture_condition,n_cells_target,n_total_de_genes,ontarget_effect_size,offtarget_flag,crossdonor_correlation_mean,crossguide_correlation,has_crossdonor,has_crossguide,low_crossdonor,low_crossguide,low_cells
ALG6,Rest,747.0,142,-13.001113811225595,False,0.5703592133772705,0.6028484818927479,True,True,False,False,False
ALG6,Stim48hr,653.0,333,-11.005779641292673,False,0.4866057511895764,0.4440829092615071,True,True,False,False,False
ALG6,Stim8hr,687.0,260,-14.309553259613638,False,0.7163729004289237,0.6933204476983942,True,True,False,False,False
ALG8,Rest,706.0,82,-11.364389990064426,False,0.491475910333476,0.9126731022184734,True,True,False,False,False
ALG8,Stim48hr,558.0,807,-12.79653072599984,False,0.5437411557217254,0.3613946068425212,True,True,False,False,False
ALG8,Stim8hr,711.0,550,-15.440598724370805,False,0.6097988098197215,0.8101660569363522,True,True,False,False,False
ALKBH2,Rest,452.0,365,-3.626968753819648,True,0.0315784421974786,0.222761810909142,True,True,True,False,False
ALKBH2,Stim48hr,344.0,97,-4.1860333891918415,False,-0.0617340090311116,0.292925781660076,True,True,True,False,False
ALKBH2,Stim8hr,363.0,107,-7.4482039918890175,False,-0.0862620800471151,0.4222337031945281,True,True,True,False,False
ALS2,Rest,316.0,102,-5.488097773864936,False,0.2234310497520696,0.8484936607529633,True,True,False,False,False
AMBRA1,Stim48hr,619.0,608,-14.572786545752669,False,0.7038100655352464,0.8824990935468199,True,True,False,False,False
AMD1,Stim48hr,329.0,428,-13.161899720573857,False,0.5985216101975458,0.5145524029459259,True,True,False,False,False
AMD1,Stim8hr,350.0,194,-19.733280421165944,False,0.150771826440235,0.4198803852211297,True,True,True,False,False
AMER1,Rest,202.0,276,-3.4300875639314388,False,0.3762823835563733,,True,False,False,False,False
AMMECR1L,Stim48hr,47.0,226,0.0,False,,,False,False,False,False,True
AMMECR1L,Stim8hr,34.0,73,0.0,False,,,False,False,False,False,True
ANAPC10,Stim48hr,180.0,69,-3.034349937196162,False,0.1611103885661668,,True,False,True,False,True
ANKAR,Rest,364.0,292,-3.54706911863424,False,0.0226582958020341,,True,False,True,False,False
ANKAR,Stim8hr,375.0,136,-3.316479141939097,False,-0.061381750977444,-0.344709712496863,True,True,True,True,False
ANKLE2,Rest,152.0,75,-1.8122247441793,False,0.3363007798126329,,True,False,False,False,True
ANKRA2,Stim8hr,30.0,72,0.0,False,,,False,False,False,False,True
ANKRD11,Stim8hr,751.0,69,-20.40297621867781,False,0.0464461430643977,0.2360137652024957,True,True,True,False,False
ANKRD49,Rest,213.0,551,-3.20194189495342,True,0.4590116294400657,,True,False,False,False,False
ANKRD49,Stim48hr,133.0,354,-4.780707911760359,True,0.3337869841256913,,True,False,False,False,True
ANKRD49,Stim8hr,228.0,57,-5.611561326837524,True,0.2355503557076288,,True,False,False,False,False
ANKRD61,Stim48hr,1001.0,1177,-0.1174970186142307,False,0.7266683143454223,,True,False,False,False,False
ANKRD61,Stim8hr,919.0,82,-1.393747424048395,False,0.7586142343694026,,True,False,False,False,False
ANKZF1,Rest,221.0,151,-6.683981634346778,True,0.1178067237363355,-0.0067914096807252,True,True,True,True,False
ANP32B,Rest,378.0,93,-14.621320863384144,False,0.585863524452837,0.6518241805461822,True,True,False,False,False
ANP32B,Stim8hr,337.0,274,-16.703117659046068,False,0.3969293918340754,0.5687386500093107,True,True,False,False,False
ANXA6,Stim48hr,110.0,120,-21.12056975027068,False,0.5263555932059746,0.7069271352614597,True,True,False,False,True
AP1S2,Rest,328.0,221,-9.323074019145675,False,0.1966024665080718,,True,False,True,False,False
AP1S2,Stim8hr,394.0,146,-9.740506544149367,False,-0.1613102758125493,0.1617937307653099,True,True,True,True,False
AP2A1,Stim48hr,116.0,55,-10.215593169376136,False,0.4119460322536669,,True,False,False,False,True
AP3D1,Rest,369.0,72,-14.395009843863123,False,0.5705584827652749,,True,False,False,False,False
AP4M1,Rest,113.0,134,0.0389030575745842,False,0.0300896753715466,,True,False,True,False,True
APAF1,Rest,348.0,90,-10.329788667399706,True,0.6216503630951213,,True,False,False,False,False
APC,Rest,128.0,337,-4.461051071292344,False,0.4413101003628628,0.4936663823618816,True,True,False,False,True
APC,Stim8hr,91.0,245,-3.587534873692923,False,0.3155682179529658,0.3264424454116884,True,True,False,False,True
APEX1,Rest,684.0,78,-18.63350249879328,True,0.7907006032093583,0.9147314305608116,True,True,False,False,False
APEX1,Stim48hr,537.0,110,-19.345435410232763,True,0.385310578789708,0.5372893515643244,True,True,False,False,False
APEX1,Stim8hr,667.0,210,-32.415925237654506,True,0.4275833994512836,0.5591537300530444,True,True,False,False,False
APOBEC3B,Rest,965.0,113,-5.903415599365343,False,0.0421664475327131,0.6140001990482985,True,True,True,False,False
APOBEC3B,Stim8hr,914.0,185,-5.179939629518646,False,-0.0672160819335599,0.2306973892602417,True,True,True,False,False
APOBEC3G,Rest,323.0,104,-17.624964719568762,False,0.2610948269977852,-0.1698192619208115,True,True,False,True,False
APPL2,Stim8hr,769.0,460,-10.020330272107865,False,0.4160450006257526,0.1603362225385647,True,True,False,True,False
ARF1,Rest,476.0,1754,-11.515019538264696,False,0.3657499897611792,0.1397734041886695,True,True,False,True,False
ARF1,Stim8hr,496.0,58,-13.94040699830986,False,0.4958194495329733,-0.3582003921509618,True,True,False,True,False
ARF4,Stim8hr,264.0,154,-10.85828881723755,False,0.3785771517257645,,True,False,False,False,False
ARHGAP27,Stim48hr,201.0,76,-6.550188547029189,False,0.4973921288897745,-0.3992832562306334,True,True,False,True,False
ARHGAP27,Stim8hr,234.0,934,-6.386096144522551,False,0.5226429529333397,-0.0452762128728398,True,True,False,True,False
ARHGAP30,Rest,1107.0,1840,-58.547976668913336,False,0.7152845357632883,,True,False,False,False,False
ARHGAP30,Stim48hr,1248.0,1484,-53.60639477490099,False,0.6521628506370395,0.912550997734286,True,True,False,False,False
ARHGAP30,Stim8hr,1227.0,299,-32.49304273926119,False,0.7659508746374054,,True,False,False,False,False
ARHGAP45,Stim8hr,346.0,50,-7.686299384928706,False,0.7135585010403518,,True,False,False,False,False
ARID1A,Rest,147.0,101,-4.344056959862375,False,0.0206394419488219,,True,False,True,False,True
ARID1A,Stim48hr,141.0,64,-4.90310720779147,False,0.6420299135864243,,True,False,False,False,True
ARID1A,Stim8hr,138.0,100,-4.744824237099287,False,0.2828403659054549,,True,False,False,False,True
ARID2,Rest,790.0,298,-15.833949902733496,False,0.4544816250104126,0.6405682512627809,True,True,False,False,False
ARID2,Stim48hr,862.0,270,-14.78533074816423,False,0.3884561087404221,-0.3872572936185126,True,True,False,True,False
ARID2,Stim8hr,873.0,216,-16.766453703494445,False,0.3690126135400463,0.4043153526765838,True,True,False,False,False
ARID4B,Stim8hr,272.0,242,-12.376928236739683,False,0.4545972683284418,0.1755093142973666,True,True,False,True,False
ARID5B,Stim48hr,289.0,50,-1.5739955261663754,False,-0.3412885048717288,-0.0317145905182446,True,True,True,True,False
ARID5B,Stim8hr,304.0,61,-0.2998559875675536,False,-0.181375445514481,-0.1531962840332521,True,True,True,True,False
ARIH1,Rest,388.0,434,-13.394128393903348,False,0.4333743015900705,0.6257710579891752,True,True,False,False,False
ARIH1,Stim48hr,320.0,871,-14.085724317053543,False,0.3239926762655301,0.3100709594909397,True,True,False,False,False
ARIH1,Stim8hr,334.0,601,-14.155651958105896,False,0.2739467823612306,0.7030453172627585,True,True,False,False,False
ARIH2,Stim48hr,1344.0,61,-33.65698235726929,True,0.7742903869403417,0.9256164317931734,True,True,False,False,False
ARL1,Stim48hr,375.0,137,-17.445296968110426,False,0.2731736462511995,,True,False,False,False,False
ARL5B,Rest,1293.0,57,-6.9520838913650245,True,-0.2175970115126846,0.2122058900849278,True,True,True,False,False
ARL5B,Stim48hr,1379.0,72,-13.240409495827816,True,0.1725223667441461,0.3677601612147426,True,True,True,False,False
ARL5B,Stim8hr,1170.0,60,-7.306107684374265,True,0.1651491161186666,0.3853674863824152,True,True,True,False,False
ARL6IP1,Stim48hr,434.0,118,-17.94198267130957,False,0.934064366334773,0.9987264450844788,True,True,False,False,False
ARMC7,Stim48hr,49.0,71,-2.132582950917734,False,,,False,False,False,False,True
ARMC8,Stim48hr,1250.0,63,-25.28223374183271,False,-0.0924772918228116,0.2487889370251713,True,True,True,False,False
ARMC8,Stim8hr,1307.0,85,-27.980158409116683,False,-0.073986537615853,0.0379273859408549,True,True,True,True,False
ARMH3,Rest,242.0,116,-9.20075969907164,False,0.5995084803951481,,True,False,False,False,False
