variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
TDRD7,2341.3406260828397,1.2892327056966926,0.12268942734434951,10.508099463845678,7.927499536567145e-26,1.0452995688991989e-23,Treg
CTNNA1,2607.8058095188503,1.330875970163953,0.12666236213461438,10.50727262412431,7.997293447662951e-26,1.0452995688991989e-23,Treg
BMP2K,3167.049263360385,1.9913548530454332,0.1896068563907059,10.502546642838835,8.408064021591452e-26,1.0845296263639605e-23,Treg
CD109,2142.5869619914743,1.1886807621614128,0.11347241625365928,10.475504104047666,1.1193960925203195e-25,1.4251220642826874e-23,Treg
TBL1X,1342.473408663687,-1.4565878769632965,0.1392404785148614,-10.460951387838216,1.305382860957484e-25,1.6405984853802843e-23,Treg
PLA2G12A,876.3916326723745,-0.931021606263426,0.08927904855574813,-10.428220521213017,1.8430752527860323e-25,2.2870464181090474e-23,Treg
BMPR2,889.5650436623454,1.5024682869954515,0.144259448650687,10.415042488021436,2.1170303405891586e-25,2.5941560535994401e-23,Treg
CORO1B,746.6973070135676,1.7937072947346437,0.17267293156086644,10.387889280158367,2.8151395665936002e-25,3.407013971767539e-23,Treg
COL9A2,207.82856451282794,2.8334091488146775,0.2735030029324235,10.359700326634986,3.781449045967806e-25,4.5206762192222444e-23,Treg
KLHDC7B,1164.0589260470651,2.8896802682344056,0.2793347844681564,10.344863686548221,4.415442089648494e-25,5.2150094945571313e-23,Treg
COL5A2,120.86140580139765,3.3521671374334634,0.3255295153673416,10.297582797218043,7.225405063029965e-25,8.432219742009851e-23,Treg
AKIP1,2505.0056969348575,0.980540663113301,0.09551021868808918,10.266342979650004,9.992085410364355e-25,1.1523813326800208e-22,Treg
TOX,406.4660494506673,2.4787100151750074,0.24282200455056924,10.207929959901143,1.827213726991532e-24,2.07873647114392e-22,Treg
CBLN3,292.7362399668867,2.4341123579870447,0.23847485396950702,10.206998001970835,1.8448441598441397e-24,2.07873647114392e-22,Treg
COL15A1,60.581889720390976,4.696228179944655,0.46260899544012185,10.151614487039337,3.2592629903589394e-24,3.6307448971009866e-22,Treg
TNK2,1944.0535528875982,1.3764733674664587,0.13581580560842418,10.134854049572276,3.869509870746234e-24,4.2621129508904875e-22,Treg
RAB27B,144.22441590432956,-2.6540325547559465,0.26240414121700234,-10.114293709111552,4.774481859699651e-24,5.200471741181742e-22,Treg
RGS16,4462.62170079081,4.409243538201349,0.4363065070772397,10.1058395111691,5.2047858723186834e-24,5.606869879817588e-22,Treg
TMEM71,1976.498905619425,-2.6539622784630748,0.2628846606287386,-10.095538751160376,5.7812739668603785e-24,6.160198771427422e-22,Treg
SUOX,286.137778932563,1.8904686699115876,0.18850950164110233,10.028506008735809,1.1423189574050519e-23,1.2041024451012605e-21,Treg
SLAMF7,1202.74547353657,-2.10600616290234,0.21005296989750655,-10.026071823359349,1.1708228600460256e-23,1.2210187762799137e-21,Treg
SLC16A10,216.13488999452667,-1.9276314207013343,0.1924242142056662,-10.017613576641917,1.2754537202010853e-23,1.316133980961183e-21,Treg
RDX,1915.1513563826954,1.6324670216854742,0.1643089291853742,9.93535183863146,2.9214277614311857e-23,2.9832037859697824e-21,Treg
MARCKS,36.6221113285748,5.021421199815462,0.5062442408318709,9.918969530525738,3.4429222572117994e-23,3.479481122417244e-21,Treg
GLO1,4603.501539443768,-0.751693713629435,0.07588474699111758,-9.905728666624162,3.930939919315237e-23,3.9321432682701295e-21,Treg
PPP1R13L,252.85807956750403,1.6003783480880474,0.1620275067068771,9.87720159752431,5.2272270352741686e-23,5.176010770383098e-21,Treg
TNFSF13,736.1020620525086,1.5459511963917003,0.15666369023645912,9.867961070356067,5.731782015936615e-23,5.6188659102226635e-21,Treg
FOXP3,1955.023631329348,3.4853768622053902,0.3538040993319292,9.851148895071185,6.776486890681384e-23,6.5772179197375844e-21,Treg
STT3B,12336.758366664897,-0.6431586548572681,0.06557203574959931,-9.808428966782508,1.0356838587195779e-22,9.953734183360806e-21,Treg
KCNN4,1445.1964731424596,0.8003568987288331,0.08176790159894348,9.78815504712884,1.2658449430258563e-22,1.2047648520856767e-20,Treg
EPGN,134.76148533545924,-4.988745878862595,0.5100974583054736,-9.779985760828998,1.3722984998935408e-22,1.2935232879284981e-20,Treg
IFIH1,4808.454700128279,1.6961754459575094,0.1739653367459393,9.750077099753618,1.8432822465194744e-22,1.7209234154886104e-20,Treg
TANK,6853.718538564435,0.9914928979504704,0.10223384878984097,9.698283980178154,3.066118924053229e-22,2.835581491744698e-20,Treg
INTS6,4270.08926996829,0.6703566517926622,0.06937748721022821,9.662452169265546,4.353169043867836e-22,3.9882351529940563e-20,Treg
