,variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
16536,RP11-179B2.2,1.476814164567791,-0.10697938203255629,0.982734545549064,-0.10885888006794936,0.9133144217092066,0.9994290447843712,cytotoxic_vs_rest,-0.10885888006794937
16538,METTL16,18.325464676417464,0.04044381026055974,0.3730596477029688,0.10841110934828636,0.9136695890898061,0.9994290447843712,cytotoxic_vs_rest,0.10841110934828636
16540,METAP1D,2.234251263745546,-0.08347999007504041,0.7701882257740533,-0.10838907591860611,0.913687066237618,0.9994290447843712,cytotoxic_vs_rest,-0.10838907591860611
16541,TMEM50B,55.07383938969035,-0.025026639504713843,0.2312710567585178,-0.10821345245482,0.9138263741049903,0.9994290447843712,cytotoxic_vs_rest,-0.10821345245482
16542,USF1,2.946697323363613,0.08218797868686373,0.7599298524954566,0.10815205958415103,0.9138750727208726,0.9994290447843712,cytotoxic_vs_rest,0.10815205958415103
16543,STMN1,105.05706723317077,0.034069430290911334,0.31549494057231653,0.10798724768488663,0.914005807925702,0.9994290447843712,cytotoxic_vs_rest,0.10798724768488663
16545,DCUN1D4,8.285962064825604,0.04994629083201406,0.4629526729635859,0.10788638612297773,0.9140858163850676,0.9994290447843712,cytotoxic_vs_rest,0.10788638612297773
16546,CAB39,24.391870257776013,0.03173371102474261,0.2941752815154437,0.10787347890436758,0.9140960551023305,0.9994290447843712,cytotoxic_vs_rest,0.10787347890436758
16548,SMG6,8.879722290609914,-0.0418913236808497,0.38836752812502356,-0.10786515516138623,0.9141026579616393,0.9994290447843712,cytotoxic_vs_rest,-0.10786515516138623
16549,HYPK,10.92614996277993,-0.07182928772804144,0.6664390039706329,-0.10778073807217718,0.9141696226615161,0.9994290447843712,cytotoxic_vs_rest,-0.10778073807217718
16550,KRCC1,28.147154839705273,-0.051752272936845096,0.48027735177895253,-0.10775497271556553,0.9141900614095898,0.9994290447843712,cytotoxic_vs_rest,-0.10775497271556553
16551,RAD51B,5.690415963822692,-0.04998375190794601,0.46398310678367083,-0.10772752537141532,0.9142118344814384,0.9994290447843712,cytotoxic_vs_rest,-0.10772752537141533
16552,TNK2,5.723988258654901,0.04768056034686451,0.44296378243952733,0.10763986185117466,0.9142813754886352,0.9994290447843712,cytotoxic_vs_rest,0.10763986185117466
16554,ETFB,113.80045872194012,-0.023792416692631033,0.22120631371381932,-0.10755758410861607,0.9143466447067153,0.9994290447843712,cytotoxic_vs_rest,-0.10755758410861606
