variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
PPP2R2B,105.52351208986174,-4.158516021771417,0.14501593928297926,-28.676268569737204,7.543140834769523e-181,6.330776026808808e-178,Th2_vs_Th1,-28.676268569737207
LUZP1,292.6189524976411,-1.1923572073752071,0.042257261804085754,-28.21662257491376,3.656629477029434e-175,2.9666234947139795e-172,Th2_vs_Th1,-28.21662257491376
ALS2CL,689.9041280351398,1.7443106505806103,0.06231362545242064,27.99244367369498,2.0080949212727166e-172,1.5766136222211822e-169,Th2_vs_Th1,27.992443673694975
PLCB1,90.85475145649492,-4.475851915795385,0.1600934080979087,-27.95775272057471,5.306360572195174e-172,4.035984686458073e-169,Th2_vs_Th1,-27.957752720574714
ABCB1,184.8954231903735,-4.483152595086421,0.16139097094795601,-27.778211933132923,7.953416605252912e-170,5.866006265310624e-167,Th2_vs_Th1,-27.778211933132923
PKM,4735.090985033132,0.6032070392903175,0.02171659509836292,27.776317445628923,8.383733212280069e-170,6.001520078049547e-167,Th2_vs_Th1,27.77631744562892
EOMES,303.24035101559497,-5.802746974721784,0.213906624026547,-27.127476772302437,4.66969745443827e-162,3.247307609816373e-159,Th2_vs_Th1,-27.127476772302437
TRPS1,131.22691080371948,-2.207566980400792,0.08199603090000947,-26.922851705990773,1.1863912322467982e-159,8.020993389348562e-157,Th2_vs_Th1,-26.922851705990773
PTGDR2,127.73545046341859,6.834609482426685,0.2545396993432832,26.850858628575796,8.242089092400299e-159,5.421735308646781e-156,Th2_vs_Th1,26.850858628575796
SLAMF1,1165.213123059966,-1.0826121442799765,0.04034056613840775,-26.83681088077827,1.2023596983929379e-158,7.701113868206767e-156,Th2_vs_Th1,-26.83681088077827
IL17RB,70.23207273932016,4.386351698225044,0.16394256138931615,26.755417635623786,1.0679626276014896e-157,6.6649083059468345e-155,Th2_vs_Th1,26.755417635623786
APOBEC3G,670.494133757488,-1.6105006815476814,0.061294535867394924,-26.274783857273206,3.7245886506556727e-152,2.2663190792077105e-149,Th2_vs_Th1,-26.274783857273203
HRH4,48.67393297239635,5.7056246970226425,0.2177609618319287,26.20132024134947,2.566916354015386e-151,1.5238091985458654e-148,Th2_vs_Th1,26.201320241349467
CSGALNACT1,1633.3118705554675,1.5706600785309102,0.06000173318682421,26.17691181753749,4.868907931425879e-151,2.821532146261297e-148,Th2_vs_Th1,26.17691181753749
EEPD1,245.20296272399597,1.5014195967346566,0.05788574333125911,25.937640433199192,2.50685918574344e-148,1.4189405981816184e-145,Th2_vs_Th1,25.937640433199192
HNRNPA1P21,56.53752532937994,4.798634383545503,0.18596696389128653,25.80369267280565,8.06009744844767e-147,4.458516177221996e-144,Th2_vs_Th1,25.80369267280565
IFNG,31.91629190858729,-7.26821958886158,0.2824664837429751,-25.73126373278026,5.224996623219592e-146,2.82602650694537e-143,Th2_vs_Th1,-25.73126373278026
FANK1,26.870925800143734,6.810503940436875,0.26600022454912436,25.60337665872581,1.399017113975408e-144,7.402321203705967e-142,Th2_vs_Th1,25.60337665872581
PLAC8,1327.1580129810459,-1.4511184478429364,0.05673875153093145,-25.575438455882328,2.862743600995549e-144,1.482474819247461e-141,Th2_vs_Th1,-25.575438455882328
IL4R,1137.4303624066956,1.1197974638738293,0.04384213620489468,25.54158078977939,6.810412139362935e-144,3.453304605415718e-141,Th2_vs_Th1,25.541580789779385
DCBLD1,67.08719574765709,-2.3041538347610646,0.09091546518025985,-25.34391514350803,1.0487508970419159e-141,5.2092955271639164e-139,Th2_vs_Th1,-25.34391514350803
ITGA4,5093.121642723719,-1.7259553031631587,0.06871165356442273,-25.118814838955025,3.0984788203463198e-139,1.5082775201681814e-136,Th2_vs_Th1,-25.11881483895503
SIGMAR1,906.284860210775,0.6437326899720025,0.025725177410129745,25.023449973119387,3.39744317556475e-138,1.6213797931386365e-135,Th2_vs_Th1,25.023449973119384
CXCR6,208.18807765754073,-5.266802225139171,0.2120761087969416,-24.83449104671202,3.8036464089428705e-136,1.780325960524241e-133,Th2_vs_Th1,-24.83449104671202
IL11RA,486.70672871780096,1.0365565429473937,0.04204225425100907,24.655113323817908,3.243593832566604e-134,1.4895439677516713e-131,Th2_vs_Th1,24.655113323817908
GATA3,1175.5670013472195,1.0189708369358728,0.04135803617476136,24.63779548502105,4.973906774578221e-134,2.2418503145640615e-131,Th2_vs_Th1,24.63779548502105
CDHR3,76.5690761745467,1.791544304441711,0.07274726191333865,24.626965432402347,6.497476098973438e-134,2.8753103776893544e-131,Th2_vs_Th1,24.62696543240235
ARHGAP26,333.38228878706116,-1.8626797849132186,0.0760923702013198,-24.47919259164976,2.4608838598905922e-132,1.0695616476049486e-129,Th2_vs_Th1,-24.47919259164976
ZNF101,1119.6496733532088,-0.9474488402721872,0.0387745482798024,-24.434813100471676,7.298862365577663e-132,3.116614230101662e-129,Th2_vs_Th1,-24.434813100471676
