variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
ITGAL,4893.913119860095,-0.48877944734763035,0.11596657880557527,-4.21483027594612,2.4996610013797944e-05,0.0013608416464716984,Th2_vs_Th1,-4.21483027594612
PLEK,134.49702648152748,-1.4422263325409979,0.3431346483262063,-4.20309152566232,2.6329406456843644e-05,0.0014271683056411727,Th2_vs_Th1,-4.203091525662319
MYBL1,419.5030526981774,-1.5772820916465813,0.37558218000148147,-4.199565835738958,2.6742726670373447e-05,0.0014432968545434882,Th2_vs_Th1,-4.199565835738958
CLU,51.01853588238941,1.160537467225373,0.27649496735087836,4.197318592611578,2.7009385054585773e-05,0.0014514051873944862,Th2_vs_Th1,4.197318592611578
ITGAM,157.47261099777822,-1.6064600971725027,0.3842009228926842,-4.1813020257143485,2.8984455378309895e-05,0.0015456393279714637,Th2_vs_Th1,-4.1813020257143485
ZFHX3,27.071391783926142,-2.2137362846082156,0.529550929806294,-4.180402979214831,2.90992948683231e-05,0.0015456393279714637,Th2_vs_Th1,-4.180402979214831
CNTNAP1,684.959342073749,1.6366470006565708,0.3915545390016126,4.179869820510063,2.916760192623138e-05,0.0015456393279714637,Th2_vs_Th1,4.179869820510063
SIPA1L1,540.8186621243646,-0.39040287915799304,0.0934166141503391,-4.179158950566353,2.925891404518051e-05,0.0015456393279714637,Th2_vs_Th1,-4.179158950566353
CALCOCO2,1043.3966525435917,0.4044337583994925,0.09719240156194434,4.16116642762173,3.16626227791794e-05,0.0016655608362364117,Th2_vs_Th1,4.16116642762173
CERKL,454.1487868815627,-1.6403833001500525,0.39471605629560014,-4.155856530248622,3.2407114695433784e-05,0.0016975609197813991,Th2_vs_Th1,-4.155856530248622
CSF1,345.44249233587396,-0.741325814365491,0.1785478144429812,-4.151973613780815,3.296202736117033e-05,0.0017194041636473243,Th2_vs_Th1,-4.1519736137808145
JAZF1,266.57409970114537,0.7149082725554392,0.17289943827013063,4.1348212562639866,3.552310105892544e-05,0.0018452770870900977,Th2_vs_Th1,4.134821256263987
PDSS1,83.08953151610957,-0.9876176473230996,0.23919993158727396,-4.128837499114249,3.646019621986215e-05,0.001886096540551956,Th2_vs_Th1,-4.128837499114249
ZNF365,221.6730965808956,1.8150979311343953,0.43980071943018284,4.127091773487963,3.6737980689448686e-05,0.0018926132448568462,Th2_vs_Th1,4.127091773487963
ADCY3,566.4083724427868,0.4556610776205326,0.11055901859396976,4.121428386534048,3.765305210476989e-05,0.0019317720188895726,Th2_vs_Th1,4.121428386534048
IL9R,30.6656467017786,3.469957590631545,0.8428371571867115,4.116996457790072,3.8384197000526884e-05,0.001961212229531019,Th2_vs_Th1,4.116996457790072
LGR6,6.238915529039966,-4.750654005100552,1.155239272244343,-4.112268444502593,3.917903556418436e-05,0.0019907755058731756,Th2_vs_Th1,-4.112268444502593
ZIK1,99.27898615702371,-0.7552103344821178,0.18367521362517136,-4.111661663959114,3.9282166876137096e-05,0.0019907755058731756,Th2_vs_Th1,-4.111661663959114
IL17RB,57.7312993921681,2.2135056065032632,0.5393184220144647,4.104264783382268,4.056027066151753e-05,0.002047226292862911,Th2_vs_Th1,4.104264783382267
SHMT2,655.7563573019346,0.6424788688231774,0.15673598673608663,4.099115220456606,4.147325442398767e-05,0.002084867189128445,Th2_vs_Th1,4.099115220456606
DCBLD1,37.47417321778154,-1.5497071925432049,0.379077739235148,-4.088098646124658,4.349232166501021e-05,0.002177585438544909,Th2_vs_Th1,-4.088098646124659
ICOS,2681.477103472488,0.7050205797392521,0.1727213358958513,4.081838390622281,4.4680862830221604e-05,0.002228145267617491,Th2_vs_Th1,4.081838390622281
IFI44,523.0962361109388,-1.0192394298018492,0.2502127426826406,-4.073491297342158,4.631358288849021e-05,0.002296101795677273,Th2_vs_Th1,-4.073491297342158
CD40LG,537.7176348161778,0.6393308242421539,0.15696813897295372,4.072997414795836,4.641193972171916e-05,0.002296101795677273,Th2_vs_Th1,4.072997414795835
GFOD1,21.626450043749575,-1.5659315202782995,0.38472321001005255,-4.070280865657632,4.69564918788998e-05,0.002313860016815193,Th2_vs_Th1,-4.070280865657631
KLF6,18848.614794482783,-0.45660891621248717,0.11222970108313877,-4.068521182946351,4.7312460427277885e-05,0.0023163997214502036,Th2_vs_Th1,-4.068521182946351
GCNT4,323.98007106497505,1.1588885487637306,0.2848658499135649,4.068190515343854,4.737963655809753e-05,0.0023163997214502036,Th2_vs_Th1,4.068190515343854
BMF,143.79541988960798,-1.2964619996706248,0.3194730389496039,-4.058126482075812,4.946797530102408e-05,0.0024090517503041688,Th2_vs_Th1,-4.058126482075812
GLB1,292.13343072097985,0.6529350543970805,0.16120479988559988,4.050344995064914,5.1142177266486835e-05,0.0024761841541938263,Th2_vs_Th1,4.050344995064914
FXYD5,4696.157168522147,0.33745341810577667,0.08334170507616115,4.049034247588258,5.142941920746336e-05,0.0024761841541938263,Th2_vs_Th1,4.049034247588258
TRIP13,26.883840453163792,-1.8163459828524613,0.44859397449269917,-4.048975434648916,5.144234346163479e-05,0.0024761841541938263,Th2_vs_Th1,-4.0489754346489155
CCR2,94.69927241648978,-2.378393927157432,0.5887539122024836,-4.039708064546087,5.351777359480083e-05,0.0025661772438707,Th2_vs_Th1,-4.039708064546088
C9orf142,529.9147438193528,-0.4318158768681232,0.1072285068339535,-4.027062295447262,5.6478072821001396e-05,0.0026977476393081398,Th2_vs_Th1,-4.027062295447262
MAN2B1,1811.6282885016783,0.3777723228959221,0.09404630910476879,4.016875584932088,5.897483919682485e-05,0.002797038634872033,Th2_vs_Th1,4.016875584932088
ADRB2,34.6677517949679,-2.6758503333195103,0.666172456939568,-4.0167531777169385,5.900546731140969e-05,0.002797038634872033,Th2_vs_Th1,-4.016753177716939
PLEC,12635.737182515766,0.7490694645097378,0.18701091243281986,4.005485320429239,6.189027753720291e-05,0.0029226745835466243,Th2_vs_Th1,4.005485320429239
IL2RA,1546.2764485738737,0.9935144877456906,0.24815882075117696,4.003542911504502,6.240087617306831e-05,0.002924659367105974,Th2_vs_Th1,4.003542911504502
CCDC50,815.9006650960226,-0.6695467134658174,0.16723864788603165,-4.003540580656299,6.240149126896519e-05,0.002924659367105974,Th2_vs_Th1,-4.003540580656298
ARL5B,2287.189433815458,0.6267412662992614,0.15661511056660143,4.001793083897459,6.2864263305853e-05,0.002935313747693144,Th2_vs_Th1,4.001793083897459
PANK1,11.694100809915303,2.073138015649228,0.518379535971149,3.9992666989937087,6.353904746702219e-05,0.0029510216277006864,Th2_vs_Th1,3.9992666989937087
RTN4,1354.3953300523513,0.4004083250825155,0.1001330180881096,3.9987641711766444,6.36740850125519e-05,0.0029510216277006864,Th2_vs_Th1,3.9987641711766444
GPSM1,109.31700010958755,0.8156702523075677,0.20405580767136147,3.9972900630264405,6.407177123576666e-05,0.0029584547110974185,Th2_vs_Th1,3.9972900630264405
NOL11,925.9640454142773,0.35784673250282745,0.08957739172713462,3.994833133709442,6.47398333444916e-05,0.0029782712262205785,Th2_vs_Th1,3.994833133709442
UBXN2A,301.7015551414505,0.5193053334964665,0.13004972785911034,3.9931289518656823,6.520708307431343e-05,0.002988737884880388,Th2_vs_Th1,3.993128951865682
NBEAL2,7206.4975807984865,0.4077826245193725,0.10225536754143012,3.987884786137549,6.666502333697996e-05,0.003044369399055418,Th2_vs_Th1,3.987884786137549
TGFBR1,291.77512208358826,-0.7184182419558139,0.18026173834207695,-3.9854172525092064,6.736164950984232e-05,0.003064106334673975,Th2_vs_Th1,-3.9854172525092073
VIM,10610.452902810237,0.4368281898187719,0.10962862517623821,3.9846179692259205,6.758877372546268e-05,0.003064106334673975,Th2_vs_Th1,3.9846179692259205
RASGEF1B,322.1525396792271,-0.9784261799246503,0.24584136999592623,-3.9799085887817154,6.894177271733518e-05,0.0031141198567645563,Th2_vs_Th1,-3.9799085887817154
HAGHL,80.60492346345059,-1.0190433567610646,0.2562049179992644,-3.9774543155490494,6.965700013603264e-05,0.00313506794475061,Th2_vs_Th1,-3.9774543155490494
LIMS2,73.25065198391634,1.127349281188483,0.28401935425577823,3.969269221608153,7.209339156304115e-05,0.003233051484231777,Th2_vs_Th1,3.969269221608153
DLG3,390.6299291415768,-0.3698599444691156,0.0933222851886155,-3.9632542615258983,7.393496391368089e-05,0.0033037533874977045,Th2_vs_Th1,-3.963254261525898
PDE4D,3451.133027834087,-1.0052776655572362,0.2539657767704626,-3.9583194174458343,7.547897512639005e-05,0.003360701367502517,Th2_vs_Th1,-3.9583194174458334
ORMDL3,1665.405869247637,-0.33479657387474016,0.08486067601480772,-3.9452499036929662,7.971679634675966e-05,0.0035367590749290135,Th2_vs_Th1,-3.9452499036929662
WDFY1,1228.6703077893815,-0.3778032856099678,0.09582397853105656,-3.9426800201947545,8.057612716362756e-05,0.0035622077210955487,Th2_vs_Th1,-3.942680020194754
CCND1,28.79465250372479,1.4929416854634163,0.37881401109348106,3.9410941563484005,8.111077757295569e-05,0.003565315909795518,Th2_vs_Th1,3.9410941563484005
CNKSR2,101.9791848236482,1.134251634450173,0.287824426813,3.9407761426277346,8.121839403079547e-05,0.003565315909795518,Th2_vs_Th1,3.9407761426277346
CFAP36,406.6301543168484,0.5921706860500823,0.1504948502244466,3.934823584773329,8.325782835686552e-05,0.0036298936920997407,Th2_vs_Th1,3.934823584773329
OGFRL1,162.0504899950386,-0.6948035933363635,0.17657988918337852,-3.934783267503406,8.327180524107851e-05,0.0036298936920997407,Th2_vs_Th1,-3.9347832675034065
ST6GALNAC1,27.546983584455962,1.4074418276589955,0.35810872387060194,3.9302081570276317,8.487235332685793e-05,0.0036867722262227797,Th2_vs_Th1,3.9302081570276317
ITPRIP,1377.0846466652301,-0.6499187126156868,0.16559208830368338,-3.924817418956544,8.679554349291811e-05,0.0037572223636326736,Th2_vs_Th1,-3.9248174189565446
