,coef_mean,coef_sem,r2,state
GIN1,-0.00378871936900132,0.00017393844138841554,0.0159283880358813,Th1
C1orf115,-0.0035413308887540865,9.170729666454686e-05,0.01573260867422801,Th1
MLEC,-0.002960005739799679,0.00034287247530824576,0.015471636977421313,Th1
SORL1,0.00439639883940426,0.00016588171288690323,0.015468345736670528,Th1
APEX2,0.0036952457059367103,0.0002843058758627757,0.015416571612233308,Th1
ZCWPW1,0.0028744584151632717,0.00018988142972925815,0.015396366872243716,Th1
RNF41,0.0018257935942076185,0.0004198752924675911,0.01537106500157882,Th1
ARMCX6,-0.004655133980176265,0.0002701905901585609,0.015366118479072275,Th1
TMEM63A,0.002637934709032635,0.00024224591306722934,0.015328447711214426,Th1
WAS,-0.004896244002693568,4.879021667318278e-05,0.015304244754566898,Th1
C5orf63,0.00043811364500353795,0.00023675700744419685,0.01523885742075042,Th1
C1orf122,-0.005619949737053811,0.00014278628378537516,0.015085596855734745,Th1
ACAD9,0.0025159554118356765,0.00020279060291514668,0.015001959969347117,Th1
IL21,0.004351707001286496,9.145783561578246e-05,0.014988573510651589,Th1
SH2D1A,-0.0035390223522447166,0.0001312271392556743,0.01486279827490884,Th1
SLC39A6,0.007040061797632421,0.00025821919180486297,0.01466652741864178,Th1
PEX3,0.005269866637972325,0.00015767824730694125,0.014656136991822458,Th1
GPR137,-0.003977415392692613,0.00048326667650282364,0.014495910695844294,Th1
SDF2L1,0.0017843257504662625,0.00010671843699787811,0.014486520576488388,Th1
ARL4A,-0.0034135792792664666,0.0002583257691951875,0.014428795959883287,Th1
PRELID1,-0.005280345568122448,0.00023206765771617362,0.014400368095956163,Th1
C18orf25,0.0017210335517230733,0.00010353871856077754,0.014374235719857797,Th1
ATP1A3,0.003046309352483334,0.0002676254665301582,0.014352561102878953,Th1
NRBP1,-0.003860468627490183,0.0002623081652564088,0.014340155217886582,Th1
ZSCAN29,0.005066816487266466,0.00015096455380031947,0.014195802463904365,Th1
ATF7IP2,-0.004292758502781843,0.00019403157391890751,0.013904030561933952,Th1
ZNF770,-0.004514102182890803,0.0002164110160174046,0.013845327985777004,Th1
USP19,-0.0027839770008481392,0.00021014547665972717,0.013843959578316087,Th1
IL4R,0.008832078170975944,0.00019688097047784782,0.013786591759395764,Th1
CEP97,-0.004684099361964126,0.00018009952492086215,0.013771005092457184,Th1
PCGF1,-0.000338211136859647,0.00021978172522348711,0.013597749571364556,Th1
