variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
LLGL2,5.298067374745947,1.0431268281010375,0.07894632357042135,13.213114695208729,7.37100815335904e-40,3.3053511561775766e-38,CytotoxicCD4,13.213114695208729
ITGB2,120.81618024810435,0.45452048865418193,0.03447712352714147,13.183248547297433,1.0956917220620624e-39,4.890723511471491e-38,CytotoxicCD4,13.183248547297433
BCL7C,25.71756768924054,0.45636443387724707,0.03465696972232321,13.168042028305033,1.3402856771473162e-39,5.955049114150874e-38,CytotoxicCD4,13.168042028305033
ARID5B,52.53684252355206,-0.48403878866007655,0.036841289407410424,-13.138486639469106,1.9815004699156233e-39,8.763841804384807e-38,CytotoxicCD4,-13.138486639469106
TPR,57.899913380505275,-0.35172732348736707,0.0267745698283432,-13.136619028516874,2.0310050418565893e-39,8.941961288828601e-38,CytotoxicCD4,-13.136619028516874
PTPRE,11.18666127522199,0.7415813448129501,0.056458573820245155,13.134964180533919,2.075896406915594e-39,9.098250044065359e-38,CytotoxicCD4,13.134964180533919
GSTK1,210.93297226290156,-0.22312432856112632,0.016997508430412245,-13.126884418066137,2.3096504607398668e-39,1.0077150613840699e-37,CytotoxicCD4,-13.126884418066139
RCAN3,98.4284921935673,-0.49662367294555015,0.03784660337087824,-13.122014360942266,2.4629994472024484e-39,1.069803257650355e-37,CytotoxicCD4,-13.122014360942265
INPP4B,31.52011267752012,-0.5129520151807359,0.03916701865566658,-13.096529498206351,3.446605836897109e-39,1.4903492917939913e-37,CytotoxicCD4,-13.096529498206351
CD27,90.13894242638045,-0.5936953089811189,0.04535665814784651,-13.089485275698316,3.781617777428064e-39,1.6279444352074767e-37,CytotoxicCD4,-13.089485275698316
TNFAIP8,68.85945356598053,-0.31682991439847724,0.024237207721650583,-13.072046831345997,4.756813936584634e-39,2.0386946809627773e-37,CytotoxicCD4,-13.072046831345997
RNF213,98.52463249427433,0.3133972134874517,0.024024842398681818,13.044714645231013,6.811152987195816e-39,2.9062919750651396e-37,CytotoxicCD4,13.044714645231013
MYC,51.94721211466202,-0.6749667544891569,0.051752424133907,-13.04222489641667,7.037303543202165e-39,2.989619391204218e-37,CytotoxicCD4,-13.042224896416672
P4HB,68.23426755193329,0.33028918264215135,0.025362162906050718,13.02291069833612,9.064844680183626e-39,3.8341522083955726e-37,CytotoxicCD4,13.02291069833612
RNASET2,129.58467159009533,-0.38310268845309386,0.029427027399439774,-13.018735574371583,9.574317325549562e-39,4.032036418055351e-37,CytotoxicCD4,-13.018735574371583
SYPL1,28.47510939225594,-0.4651964916191089,0.035797929235213015,-12.995067076715529,1.3049330556449323e-38,5.471680336353599e-37,CytotoxicCD4,-12.995067076715527
PFN1,745.9434927097896,0.24508317427637288,0.018885881266211085,12.977057878408544,1.6510164782387086e-38,6.8929937966466085e-37,CytotoxicCD4,12.977057878408544
SEPTIN6,96.30530193575974,-0.29676349463454216,0.02291900607922598,-12.948357952726912,2.400335062500305e-38,9.978388590290968e-37,CytotoxicCD4,-12.948357952726912
LY96,13.478757524665784,-0.7146044422675013,0.05519541183492154,-12.946808774699255,2.449256996800912e-38,1.0138249261116936e-36,CytotoxicCD4,-12.946808774699255
MSN,47.588586863707526,0.390057432201094,0.030166436422760914,12.930179313682252,3.0410877041405994e-38,1.253445766055568e-36,CytotoxicCD4,12.930179313682252
