variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
GZMB,7310.638495717718,1.6954458932146503,0.35211338860337993,4.815056592819304,1.4715817906349984e-06,0.0006212417752006968,Th1
PECAM1,267.4491020600447,-1.1078138050755306,0.23029169433427715,-4.810480934963711,1.505675654873235e-06,0.0006212417752006968,Th1
ENPP2,797.6575888071727,1.9166985914076864,0.4008074099852479,4.782093703003725,1.7347877395733975e-06,0.0006816889727123656,Th1
SMKR1,167.8132863377196,-1.289342871986285,0.27457225580461164,-4.695823575502815,2.655346569630475e-06,0.0009534103759133555,Th1
NCOA3,7988.764524201267,-0.49748097459728013,0.10594463024199531,-4.695669553623908,2.657348357489963e-06,0.0009534103759133555,Th1
KIAA1217,543.0489112392802,1.4602852572678977,0.3125963637055584,4.671472310034206,2.9904841790830138e-06,0.0010282281435747096,Th1
PLA2G4A,292.71606935700885,-1.7510704277452642,0.37952747311444984,-4.613817317033103,3.953399384972229e-06,0.0013049380689916332,Th1
CDCP1,187.36751006250168,-1.228976398927493,0.271197331547791,-4.53166847886525,5.851963777664344e-06,0.0018569248370784975,Th1
FBLN5,201.1671680176091,-2.224503346861662,0.491994860107106,-4.521395500711924,6.143328535021085e-06,0.0018569248370784975,Th1
IL17RB,4190.8011007492,-3.1727708084529884,0.7025564084172095,-4.516037104552116,6.300762898472847e-06,0.0018569248370784975,Th1
JUP,78.38364624466894,-1.8848857110823043,0.41883528345850923,-4.500303067874236,6.78566453621637e-06,0.001930289454383326,Th1
RORA,1639.7405974457029,0.992739670134919,0.22094484707259462,4.493156021913197,7.017533159415873e-06,0.001930289454383326,Th1
MYL9,172.03431322349115,-1.174502292656858,0.26511921308004016,-4.430091199396675,9.419324529497379e-06,0.002507363419916528,Th1
TIMD4,606.4988677882716,0.9536727857641452,0.21959328043220566,4.342905137566673,1.406108593099665e-05,0.0036260025344557615,Th1
TLR5,57.95291322525851,-1.712277726619559,0.39861238414293937,-4.295595909046191,1.7422469182479862e-05,0.0042568820324169155,Th1
HTR2B,36.35179066755278,-3.012026405764067,0.7014314600427723,-4.2941136480824476,1.7539261888290733e-05,0.0042568820324169155,Th1
G0S2,1499.4607666998,1.3743041768754205,0.32160405751088206,4.273279968891308,1.9261835352271558e-05,0.0045413904379127115,Th1
CYSLTR2,249.1274922169813,-1.0962216833557419,0.2578393813952399,-4.251568078637889,2.122789602509164e-05,0.004734421047544204,Th1
SLC4A8,420.2320367014601,-0.6311188667767723,0.14844383088811272,-4.251566824979534,2.1228014876288844e-05,0.004734421047544204,Th1
BACE2,126.40515242237034,-1.5907570562080662,0.3751657611261503,-4.24014454686117,2.2337589704140157e-05,0.004850783953646436,Th1
EGR3,120.57560382623916,-1.6633980817112577,0.3963326408093066,-4.1969747389834415,2.705040916727922e-05,0.005606454942919985,Th1
EDARADD,593.8501303187753,-0.65273261678879,0.15556352525308917,-4.195923277817518,2.7176223669025614e-05,0.005606454942919985,Th1
KLHL11,256.2789834366954,-0.7260815804500509,0.17479795717955357,-4.153833329437685,3.2695136042945556e-05,0.006580494210399677,Th1
SETBP1,301.53998969684915,1.2910741906553933,0.3118134777278321,4.1405336294742,3.4649880321466046e-05,0.006807876486017567,Th1
TMEM14A,3383.302214984332,-0.24936806814110557,0.0603681218142464,-4.130790567054824,3.6151782779321485e-05,0.006937779337092114,Th1
PDE7B,281.35977903888136,-1.6097984396903382,0.39333024558828206,-4.092740026342629,4.263055897120715e-05,0.007995167559781849,Th1
TIFA,1106.714465475873,0.9321532725499388,0.22876893804091142,4.074649646637076,4.6083672195531814e-05,0.008450721399056189,Th1
CAPG,11282.096752886595,-0.6408487680864455,0.15800066329523804,-4.0559878339812006,4.992285803477977e-05,0.008955726619630493,Th1
PRSS23,625.632845174436,1.3115945973620233,0.329484026919762,3.9807532086568527,6.869724369316769e-05,0.012061482020340847,Th1
