variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
TBX21,1653.5106622641315,-2.2516160556439857,0.3256779655636014,-6.913627244469719,4.724155337482747e-12,5.077342188904077e-10,Th2
CYSLTR2,249.1274922169813,1.6904167468800484,0.24517049769051838,6.894861995238438,5.391711964108554e-12,5.726632424937886e-10,Th2
CBR1,2670.891272662927,0.6197941800726909,0.09023805464287586,6.8684346368677245,6.491020168460869e-12,6.814061637309852e-10,Th2
RYR2,25.217638937819665,5.692625348297493,0.8331567045858354,6.832598617960247,8.339004035381855e-12,8.65339407257786e-10,Th2
CD200R1,893.059467049383,1.5268532056508828,0.2235962176781099,6.828618218618293,8.573640269067541e-12,8.795775494220655e-10,Th2
ENPP3,111.06559904364074,4.264519788403624,0.625840442018181,6.814068733959729,9.487633792585368e-12,9.624085154995585e-10,Th2
MT1X,2567.872934075679,1.111516862377933,0.16365113910785348,6.791989768219048,1.1059739465885963e-11,1.1094147544224275e-09,Th2
ATF6,3069.716480562065,0.5157375107118077,0.07598916271526067,6.786987674075711,1.1449898675058756e-11,1.1237375662400175e-09,Th2
MRAP2,39.722041379939206,3.827006016796964,0.563875662777859,6.786967889239489,1.1451468331200885e-11,1.1237375662400175e-09,Th2
KIF21B,5268.180532690251,-0.9803978480029302,0.14495041903528152,-6.76367722513653,1.3453262629360069e-11,1.3059790862135774e-09,Th2
TRPS1,495.24276043201394,-1.3650176002601915,0.20201072890671606,-6.757153977155962,1.407286124880788e-11,1.35159352504508e-09,Th2
FASLG,721.346370842474,-1.252570591378446,0.18644778567836978,-6.718077057451262,1.8413831653325968e-11,1.7498954964865983e-09,Th2
RAB31,230.65518028302824,1.5721542613305786,0.23530142186020395,6.681448199087461,2.3659241055808164e-11,2.224954460956626e-09,Th2
CASP3,9318.527333047725,0.615812094288978,0.09239233905377066,6.665185670108282,2.6433096805956147e-11,2.4601855460223926e-09,Th2
KIF21A,1208.8617763487362,-0.5496451124962056,0.0827481485419745,-6.642385626518214,3.08646152924152e-11,2.8293905109495383e-09,Th2
KLF10,1257.5445480803794,-1.105248059665485,0.16641258314288326,-6.641613505371223,3.102676789809529e-11,2.8293905109495383e-09,Th2
AGPAT3,7276.362734277934,0.5575105344539618,0.08397658659292177,6.638880634152297,3.160742208981786e-11,2.8535180662687568e-09,Th2
PTPN14,49.09293565333172,2.046451688664671,0.30897613224485543,6.623332597881419,3.5118960182817376e-11,3.139148242875993e-09,Th2
CHDH,1217.808578985683,1.7652501092712358,0.26696490718106025,6.612292708846606,3.784128066109257e-11,3.3493243314543504e-09,Th2
FAM110B,88.98011121780216,2.9204177011920702,0.4439223071702301,6.5786685057756795,4.7467971955822724e-11,4.160590784632695e-09,Th2
SNX9,1107.1266487855694,-1.5096405651434202,0.23002257813263155,-6.56301036793422,5.273217949079651e-11,4.577558811951066e-09,Th2
SLC37A3,2398.016619648561,1.3370944517097731,0.20455156052821788,6.536711077915834,6.288636391193573e-11,5.407029460923388e-09,Th2
VAMP7,3085.9478744850667,0.6212293036381527,0.09537662951483719,6.513433183770785,7.345228661075125e-11,6.255917391715682e-09,Th2
CDON,49.877021289848955,2.42310729246398,0.3721785722673276,6.51060397621042,7.484923754771145e-11,6.315151023972905e-09,Th2
CYB5B,18279.672411681677,0.5820445826675434,0.08941861369733003,6.509210539068364,7.55467778676422e-11,6.315151023972905e-09,Th2
OXER1,30.77622548118095,3.4057698135078738,0.5244711123949695,6.493722405330595,8.374098907280132e-11,6.877370103005908e-09,Th2
JCAD,97.7374001958792,4.090132132828128,0.6298690049901909,6.493623436656998,8.37960468908562e-11,6.877370103005908e-09,Th2
FRMD6,409.8481666614799,-0.8439265709844246,0.1301076250576785,-6.48637288252937,8.792739757238049e-11,7.151428335886946e-09,Th2
GATA3,7740.91291705199,0.7603826379767993,0.11746253789151463,6.473405492728832,9.581835470322309e-11,7.72364380589909e-09,Th2
AXIN2,93.08731226784121,2.1680123764753843,0.3351622650286911,6.46854554551299,9.895069430244011e-11,7.905547505862207e-09,Th2
ACBD7,116.95533879446782,0.96733953968149,0.14970115319886315,6.4618041946308535,1.0346192058741114e-10,8.193458061957437e-09,Th2
KRT1,49.119290338293986,5.750096723608317,0.8909946693169561,6.4535702868081,1.0924529857013126e-10,8.576230917314304e-09,Th2
BCOR,3377.13511154026,0.4397051690810218,0.06822067943917548,6.445335530160708,1.1534494974548045e-10,8.97701901984653e-09,Th2
SPOPL,554.759341657745,-0.8594987334971199,0.1334035881418795,-6.442845694547677,1.1725389283318386e-10,9.047590978615247e-09,Th2
LAMB3,98.79281261913331,-1.6407703269527234,0.2553631942956088,-6.425242022361943,1.3165987242521206e-10,1.0073096002159444e-08,Th2
DENND5A,1585.114980458987,2.5109693431242093,0.393007427566799,6.389114217688475,1.668494036876215e-10,1.2658121146990311e-08,Th2
HOMER2,1988.9827399766918,2.49621771595311,0.3914733470157334,6.376469138913783,1.8121724602500928e-10,1.36335774759482e-08,Th2
DOK5,1459.901190865803,-2.748651215998637,0.4323030522250307,-6.358158245359453,2.041870658244378e-10,1.5234717605479542e-08,Th2
GPC1,620.266841908425,1.9765524978663638,0.3114286990881272,6.346725602533646,2.1994591824784914e-10,1.6275997950340836e-08,Th2
GPX4,11225.27480262973,0.42235419794632034,0.06683939718456892,6.318940860283947,2.633620311691056e-10,1.933034485686736e-08,Th2
REC8,1148.2099316129224,0.46669578757001745,0.07399622577132264,6.307021509614429,2.844563116571138e-10,2.0710254690648576e-08,Th2
MYO1E,2486.7672380437693,-1.1005844797721285,0.17539751494327752,-6.27480087233876,3.500820423807236e-10,2.5284325428905384e-08,Th2
ALKAL2,30.459007776029686,5.636407081942299,0.9004071186551285,6.259842870146323,3.8536556304274796e-10,2.7611748437697845e-08,Th2
FAM120AOS,2776.8858670935624,0.28638730762317943,0.04581110525108324,6.251482169084047,4.065755265888754e-10,2.8902077590900525e-08,Th2
