variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
MIOS,3541.809667847689,0.3087558370281769,0.08261995067119413,3.7370615029406715,0.0001861833946924665,0.02017119636885567,Th1
TNFRSF1A,5869.07598498181,0.3836195711656922,0.1027242140954042,3.7344609987418242,0.0001881176392954661,0.02017119636885567,Th1
RNASE6,373.9986129467332,1.0278496275896085,0.275443341803667,3.7316190722164873,0.0001902530446758937,0.02017119636885567,Th1
STON2,75.30172887043992,1.8882988892081716,0.5073238204416365,3.7220781148505226,0.00019758987143623526,0.020711011069634477,Th1
ITM2C,20422.658378853746,-0.618155898455839,0.16923630405118853,-3.652619938266122,0.0002595782868980872,0.026902810318516365,Th1
IDO1,7.688621980606633,-6.045535726272125,1.6661797217152068,-3.6283815290037866,0.00028520357261751795,0.029230197264710954,Th1
CCL4L2,879.6961044821908,1.3942825739369888,0.38688395884262644,3.6038779641007137,0.00031350429877119137,0.03177762254797219,Th1
TMEM213,10.99677446506607,2.493936542449025,0.6935964058170044,3.595659552923079,0.0003235707368242315,0.03222749517924188,Th1
MIR9-1HG,54.50841723046999,-1.4712966514118893,0.40933979118451674,-3.5943162211383397,0.0003252446243877078,0.03222749517924188,Th1
LAMC1,37.35307830442291,1.8176139672936207,0.5060479231823154,3.5917822878581074,0.0003284241703001666,0.03222749517924188,Th1
TMEM98,514.7745313071721,-1.0061893146552008,0.28070811578602306,-3.584468200492623,0.00033776571174289077,0.03251304197985547,Th1
WWOX,5343.692490902515,-0.2486792842609238,0.06938613577302259,-3.583990972986431,0.00033838378469927636,0.03251304197985547,Th1
MAP6,242.79704405385047,0.8554885175486022,0.23942176606457577,3.5731442951509416,0.00035272026684170064,0.033541151972658216,Th1
ROR2,71.91103703422161,1.739271883834574,0.4888133302612089,3.5581514990705205,0.00037347389320354767,0.035152277458260446,Th1
OSMR,63.659490148347544,1.4864338852705494,0.41923470300833043,3.545588842250526,0.0003917369108685378,0.03649880066516559,Th1
