variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
TNS2,97.71954114939453,3.9460404563315956,0.32223653907041744,12.24578835074094,1.7694924919875559e-34,3.2172590763410105e-32,Treg
LMCD1,2163.0042366132643,4.284965090115885,0.3505656861191074,12.22300202153851,2.3427093985144293e-34,4.1834096402043384e-32,Treg
GAD1,451.11008974169306,-4.037600322623918,0.33047129957724025,-12.217703406586505,2.500490802629848e-34,4.386825969526049e-32,Treg
KCNN4,4360.986659445633,0.781452435222887,0.06398194337774035,12.213640192347743,2.6285969707665218e-34,4.5320637427008997e-32,Treg
RBMS2,538.4226105149053,1.6174735757448218,0.13304393631265732,12.157439268361014,5.237481770650662e-34,8.877087746865528e-32,Treg
PLA2G12A,2627.282012915397,-0.9657433934564604,0.07946807837678496,-12.152595270739342,5.557303324844268e-34,9.230797099724824e-32,Treg
RNASE6,373.9986129467332,-3.9670433632357796,0.3264647454490563,-12.151521469122375,5.630786230832143e-34,9.230797099724824e-32,Treg
PRKD3,3374.2900399509394,1.6596972406693467,0.13661592615826695,12.148636600000932,5.833019517231558e-34,9.40809599553477e-32,Treg
WLS,89.36232441381901,6.213114076283568,0.5136455207772903,12.096112639863728,1.1073176750527912e-33,1.7576471032583988e-31,Treg
PTPRF,288.03813407205473,-3.2188265957464584,0.2665595778271369,-12.075449030887414,1.423848660717682e-33,2.224763532371378e-31,Treg
NOTCH1,6929.932116765184,1.1179009255658459,0.09310918636086309,12.006344048944854,3.2907388052018446e-33,5.062675084925915e-31,Treg
NPL,1185.0791790282508,1.9688257973911734,0.16407905199762535,11.999251418271648,3.585243860691014e-33,5.432187667713658e-31,Treg
TYMP,22361.44655007285,2.3404729177083015,0.1960447632859067,11.93846180066037,7.458983535946483e-33,1.1132811247681318e-30,Treg
ZBTB18,1726.044885509068,2.1357388836062476,0.18087272923655862,11.8079651510813,3.550501681432647e-32,5.221326002106834e-30,Treg
FXYD6,373.7755101294034,7.939453143209618,0.672618144059693,11.803804600467354,3.730549054963259e-32,5.406592833280085e-30,Treg
ITIH4,204.9185983027612,2.22551094731325,0.18932170378724275,11.755181275012452,6.641805778278724e-32,9.488293968969606e-30,Treg
PTGIS,5994.226314703896,-4.264942791112333,0.36358034868809713,-11.730399639313505,8.903729666327058e-32,1.2540464318770503e-29,Treg
ALPK3,375.8624383465197,4.038460375049094,0.34534708540358,11.693917643259281,1.369217113562767e-31,1.901690435503843e-29,Treg
INPP5F,5762.075759561506,2.0489534698384304,0.17577401555156658,11.656748373239115,2.1198412916753482e-31,2.903892180377189e-29,Treg
IL13,28169.69742859466,-2.50882035853093,0.21583534955314296,-11.623769524895218,3.120572180373024e-31,4.216989432936519e-29,Treg
GLO1,13914.867647672269,-0.7748963157393521,0.06707029701261487,-11.553494620630744,7.087859610861773e-31,9.442816235910242e-29,Treg
CORO1B,2251.8956420988447,1.876046405079866,0.1623941469009608,11.552426247381987,7.176540339291785e-31,9.442816235910242e-29,Treg
FOXP3,5836.517907997839,3.501146091817017,0.30434239514804856,11.503971013022587,1.2598291210189706e-30,1.6361417156090526e-28,Treg
SUOX,874.8090248355822,1.8101536230431092,0.1578550265111398,11.467190263436857,1.928186446637804e-30,2.472033905945902e-28,Treg
SLC39A10,3279.725097892511,-1.1421943028995245,0.10028910712610518,-11.38901657049664,4.743126376325779e-30,6.003957438387062e-28,Treg
BMPR2,2639.828763253879,1.524844513254282,0.13477387612478473,11.314095558418575,1.1174875173908959e-29,1.3968593967386199e-27,Treg
KIF5A,831.4902574269954,3.2344686506454634,0.28620534279199245,11.301216878387216,1.2941218311738024e-29,1.597681273054077e-27,Treg
MARCKS,113.2983552089344,4.298726720233904,0.3821985707505818,11.247364718794831,2.3861506078156456e-29,2.909939765628836e-27,Treg
AKIP1,7486.264239991364,0.952140340304167,0.08485707011873725,11.220518678901753,3.233682445699816e-29,3.896002946626285e-27,Treg
RASGRP3,2479.173840711417,2.4197238790125963,0.21593893451265644,11.205593305688806,3.827804125641323e-29,4.5569096733825276e-27,Treg
IGF2BP3,1316.3100352761235,-3.3090312151269594,0.2959023299896775,-11.182849473481314,4.947544238513103e-29,5.82064028060365e-27,Treg
TOX,1219.0872876147623,2.4964424203196174,0.2237426546935032,11.157650845518935,6.570483346217035e-29,7.640096914205854e-27,Treg
FLVCR2,236.01210453639382,2.9787977821745613,0.2683138111384813,11.101917450820872,1.2278108526263928e-28,1.411276842099302e-26,Treg
LAG3,15124.222553164334,4.5015380562799505,0.40886667810720595,11.009794383634352,3.4278513214048087e-28,3.8952855925054645e-26,Treg
SLC38A1,39798.22644619335,-0.7207400922792359,0.06556889017351406,-10.99210449302941,4.170857768951845e-28,4.6863570437661175e-26,Treg
NDUFV2,39679.516877344155,-0.9059676284478616,0.08246028135955638,-10.986715222296151,4.427474012230992e-28,4.8838828692688223e-26,Treg
NRIP1,1507.8825338172335,1.3332185208949974,0.12135202695403707,10.986372080953894,4.444333411034629e-28,4.8838828692688223e-26,Treg
ZNF704,384.3612521224227,3.586452355894043,0.3279651246565896,10.935468701586476,7.800186104996531e-28,8.478463157604925e-26,Treg
SLC31A2,802.5451302705967,1.499531571564818,0.1371672265561227,10.932141803940874,8.091568798554757e-28,8.700611611349202e-26,Treg
DENND2B,758.4767202742322,3.7716596623806677,0.34558360089403894,10.913884954677334,9.893588689463902e-28,1.0525094350493512e-25,Treg
SLC15A4,6568.62695134907,1.2671016134450752,0.11621877954386467,10.90272689506975,1.1185394354525755e-27,1.1774099320553425e-25,Treg
