,coef_mean_oh,coef_sem_oh,coef_mean_yazar,coef_sem_yazar
ZNF146,-0.0002516424489748061,8.180846495054681e-05,0.00039459989007578644,0.0001710733917073751
KLK1,-0.0002716774202152977,5.461862270140618e-05,-0.002453653158992932,0.00014607687647886857
NKIRAS2,-0.00014350739493464892,6.354612538781252e-05,-0.0020548864786182853,0.00014230057492415558
RHOH,-0.0006956442235422379,7.599349100303805e-05,-0.003307344726375066,0.0005002745258820561
PTCRA,-5.8523721370847885e-05,4.683395137458064e-05,-0.0009250988349416899,0.0002989443346603227
TMTC2,-0.0003131477425954112,7.96630536290132e-05,-0.0008434562212495522,0.0003602660101818057
ZBTB42,-0.000453641949012888,3.5805113448634866e-05,-0.00042517072954777744,0.00024191403677955293
ARHGAP45,-0.00020459849526328634,2.9302995597702003e-05,-0.0010705945538424487,0.00028287780120445967
UQCR10,-2.0810926227519736e-05,5.4844811624278336e-05,-0.0023800443510996047,0.00027688827944871973
ITSN2,0.0001427092657824655,1.6432270266437554e-05,-0.0014027927992247794,0.00022170176718166115
NUDT16,0.0002503093173206212,5.944079896418307e-05,0.000882083570344178,0.0003280611872560721
ZBED5,-5.512547208941526e-05,7.12334254018845e-05,-0.0011436064908775135,0.00021721929366508072
ZNF853,-0.00037221413720825577,5.692910153925268e-05,-0.0018641668987651335,0.00029810867249235314
RNF103,0.000472473590903765,3.657798346975394e-05,-0.00035689745700703715,0.00038800798204576995
MRPS6,0.0007887118780734333,2.3323509202237562e-05,0.0030164353950318037,0.000325013886106541
FOXD1,-0.0008331527436091322,5.854831662590537e-05,-0.003888771856061403,0.0002270491875771524
USP27X,0.0010307588026269188,4.961241369135222e-05,0.00590157411548541,0.0004100732417266203
CCL3L1,0.00031971322879333357,5.38491532262525e-05,0.0015722205493561875,0.00028065646079122994
CCDC124,0.0005758679283182522,6.098753355475399e-05,0.0028620959691956827,0.00035893793492024727
FBXO42,0.00045891995074820674,0.00012866657365195508,0.0005783254570547478,0.0002603144522817464
SYNJ2,0.00021804008642464716,3.5916945837304e-05,0.0018865114832747186,0.00020732820740832492
PIBF1,-0.0002558699109596653,7.5111142118227e-05,-0.0021006554243926745,0.0005134193697384655
CEBPE,-0.00015913668962506565,2.8741082260059344e-05,-0.0031939858113344535,0.0002520723071441702
STX1B,0.0004384693800539647,4.49715362572135e-05,0.003031504664559312,0.00033597282297927617
SLC25A15,-0.00017276758278512365,4.1886972162169334e-05,-0.0038389275770983125,0.0003497082336079244
DMXL2,-0.0004700296050279736,4.899627189106172e-05,-0.005310100727817119,0.00016742630595865387
ANKMY2,0.0005370959093270553,4.42858827242401e-05,0.004470612755746558,0.00025399461332091056
PPP3CB,-0.00036686063212173543,2.8977807492413654e-05,-0.00022313873884499173,0.0002506424318734728
CASC3,-0.0014208897362188659,0.00014506776679151613,-0.011281988099210879,0.0007946353054453427
GOSR1,-0.0007280645352986358,4.2670378815761145e-05,-0.0034341042653477953,0.00012207287860495992
POLR3G,-0.0004537693761370429,2.70258874247121e-05,0.0009166245350665729,0.00037421022143430474
SMAD9,0.00017981321553207317,5.841161058291429e-05,0.0006275836226399461,0.00025299658604067244
RNF170,-0.0001569777804649044,3.9831875249512e-05,0.002397018911596531,0.00014099072117001348
USP9X,-0.0007666832524829513,4.962614132899098e-05,-0.004813770197628453,0.000444596305338661
RAP1B,0.00019868331699769912,2.6223796510688592e-05,-0.00011877520353870203,0.0002981144301541796
THEM6,8.988845206617732e-05,5.934039183472589e-05,8.662853370464553e-05,0.00012067515524256101
TRIM28,-6.048878327597789e-05,6.502933952098137e-05,-0.0011366049464029467,0.0004796053523888465
MPP1,3.2299596601234896e-06,5.0110607609234865e-05,4.246497976985422e-05,0.00029316482056970626
H3F3B,-0.0006666150434639034,5.473315101776658e-05,-0.0024815994731790378,0.0001997517456283891
FOXF2,-0.0006969268315151378,4.696896646794467e-05,-0.004273388745340908,0.0003893819090241608
RHOF,0.0008161794751414618,7.686951146493356e-05,0.006935732995045224,0.000420145987335511
CEP131,-8.972617844355042e-05,9.487497903646981e-05,-0.0019213571107433477,0.0001827148251880742
DLX1,9.86102551577365e-05,3.9483675048536615e-05,0.001423355045518889,0.00032268928254874674
