,coef_mean_ota,coef_sem_ota,coef_mean_Diff043,coef_sem_Diff043
CLN8,-0.0026415785915940887,0.0006429589815710059,-0.0006303937752219991,0.00018119907168639765
SLC35E2B,-0.0036650498631964094,0.0004278828773490262,0.0008331135363489596,0.00031027952857685975
SDHAF3,0.0012425420562155551,0.0002871854407206394,-0.00024835620909979014,0.0001715211398166925
ZNF69,0.0053333148056565775,0.00023557573430784212,0.0025490366002670966,0.00047488141838514984
TSEN15,0.008679381817405041,0.0007099416718446817,0.0013355043490495997,0.00034097514694155304
TMEM170B,-0.0012450091849561013,0.00024492557136321857,0.0031832087804368582,0.00032345840751204537
ACAD11,-0.005720684283880408,0.0003917623304592312,-0.0012454738056184105,0.00033773162550207003
APOBEC3D,0.0032918878406013297,0.00029533807107512953,-0.004300506668761443,0.0002635026741731898
USP51,0.008582477355122582,0.0006629032044348944,0.008284604289908825,0.0003862520045249001
FSBP,0.0021905147108045022,0.00020234447894627587,0.001491293258494809,0.00018754116092580976
AARSD1,-0.0025806434154144447,0.0003052612604166188,-0.005988381638149288,0.00015059479187141308
ZNF587B,0.0013534450433283526,0.0004825216413116944,0.004632126936219061,0.0003330848999930361
F8A3,0.003399622124488518,0.0001891009940877964,0.004693877946969553,0.00038451884105988415
FAM136A,0.005970278162030524,0.00034927766757619246,0.0034927462026659362,0.00039335172721811153
CTNS,0.0038175555116204477,0.0003478652120098316,-0.0012979270468807945,0.0002357790538934014
RARB,0.0002107516646483114,0.00013169037934918573,-0.0013269561744690401,0.00031819451280551544
KCNK6,0.0011800927438040173,0.0003142504693524458,0.0009793555530599853,0.00019392905653685343
PTK6,-0.0015017259692862242,0.0002842534538874181,-0.004826613423199825,0.00026788753710770035
SARS2,0.004165022261778054,0.0003656917879076472,-0.002425497599113691,0.0002896382459867139
EIF4H,0.003650071070430165,0.0003611907524909443,-0.0070480184648469835,0.00021738721284216459
PTGDS,-0.007634820022395715,0.0004259955828907461,-0.005750553065380961,0.00024342012546552756
APOC3,0.00029241370782209395,0.00030461236323679123,-0.0032081820236565376,0.00020261443297529808
C12orf49,-0.0032775829587203486,0.000738255378291194,0.0030167947374108994,0.0002592923887428394
PODXL2,-0.009556077391117157,0.00031832160233213707,-0.007355144247853933,0.0003483172877167053
IL1A,-0.004382352735525233,0.0004045061441012818,-0.005547327730659191,0.00028295195695036946
POMC,0.001362340624536581,0.0004425073500721261,-0.0006868682198309486,0.00040305945208139163
CYTIP,0.0012916993093383445,0.00020732924360925407,-0.0004411128751426115,0.000200967195120504
DPH5,-0.004866498134782948,0.0007609650358104684,-0.0018492943419809449,0.0005267060891589509
DCLRE1B,0.00191394663001884,0.0005447415319538419,-0.0017046072604888283,0.0001701573415988578
DCAF4,0.0017253384058936883,0.0004965294853919781,-0.005834682487237664,0.00029942850201694475
IDE,-0.003397771935014375,0.0003692162770385361,-0.0033918606208344984,0.0002475990193489008
ARMH3,0.004280864660034382,0.00028847257371322234,0.0004724253120238208,0.0003083894843802343
DESI2,-0.0062473276367111235,0.0006680488331804767,-0.002668689867124212,0.0003118801732181056
ECHS1,0.0039058141831816674,0.0002248573336802778,0.003727390146537371,0.0004037282585314745
BCL2A1,0.005464075931181874,0.00023541137114527314,-0.0029347351519009067,0.0002601712590619148
RRNAD1,-0.0009143532910626121,0.0006443427906836529,0.001856762642176734,0.00013292529175605277
CCDC122,-0.006155141559103894,0.0002182801628962707,-0.0061515645507874755,0.0003151952167035415
VBP1,0.004931875950001108,0.0004527099304372611,0.008783551182754343,0.00038502858512976494
MED19,0.007978315647510635,0.0005773659438125617,0.005427535735747449,0.0004625179455970314
