gene_name,padj_hollbacher,zscore_hollbacher,padj_ota,zscore_ota,padj_Diff043,zscore_Diff043
EVC,0.003986080723824749,4.238859364953434,3.0197776697408304e-15,8.220263359079437,0.6597686551137768,-0.6942701040310875
PPP2R2B,0.004205478743682087,-4.223267224425239,1.14321688891014e-221,-31.98913808627338,1.009087407673323e-06,-5.366857959938567
PLCB1,0.005696843205037021,-4.1508304715747535,2.6852484160374837e-154,-26.682506415812636,0.3676864704352609,-1.274315530288975
SYTL2,0.0057234287014150545,-4.146268660641303,1.670756336671686e-64,-17.21305286928307,3.6981769867619454e-34,-12.576904540338173
LZTS1,0.006060789431694312,-4.129673565309652,9.838802108791072e-06,-4.805166688745659,0.42473535469580226,1.1549165355132185
ARAP3,0.006246545041901592,-4.119314650156115,3.403921217525605e-72,-18.218302613492906,0.0034315012686394605,-3.4171886643230645
GCNT4,0.0063041216613156995,4.113832817892727,1.0999949596876442e-153,26.62903913665884,0.12422168351291787,-1.9796552295803875
PLCL1,0.006786049838391248,4.093471210118907,8.43826057847623e-43,13.986963705398821,0.5595982830490025,0.8835517241043978
AGAP1,0.007008554505578924,-4.082693737810562,1.0264302297844251e-24,-10.56877316752383,0.4109557616247177,-1.1840562370171033
CEBPD,0.00769251592090012,-4.05774315804093,7.595052463059812e-101,-21.558607765567317,6.252835863238638e-113,-22.89725514080524
RTKN2,0.0077051873860707575,4.054134991157965,4.579967287547904e-100,21.473384758066725,6.0035107562711715e-06,-5.00853428558398
CCR8,0.008169874911301259,4.037231155646848,0.0,39.498017350150654,0.6749265345633503,0.6667461602839923
IFNGR2,0.009267662095477695,4.002976304599164,3.429295320310577e-289,36.54096603681569,2.868447739736186e-76,18.809564270918976
USP46,0.009267662095477695,4.001239725593297,1.9553697868272003e-61,16.793849808799976,0.33905579968041283,-1.3373451613722656
LATS2,0.011866579708105361,-3.9361335500121917,1.0668181917077948e-39,-13.462527267398041,3.297299462787021e-29,-11.617375005609006
