gene,breadth_max_de,ctx_specific_de,ctx_specific_eff,max_abs_effect,passes_gate,de_Rest,de_Stim8hr,de_Stim48hr,eff_Rest,eff_Stim8hr,eff_Stim48hr,loeuf,pli,druggability_tractability,n_concept_modules,stimulation_gated
CARM1,379.0,271.0,8.012821270051607,26.259583190371064,True,108.0,203.0,379.0,-18.246761920319457,-26.259583190371064,-23.69686386673281,,,,0,False
CARMIL2,2545.0,2459.0,3.557242795297185,17.935612295155313,True,86.0,2545.0,1918.0,-16.385385421946705,-17.935612295155313,-12.82814262664952,,,,0,False
CARNMT1,58.0,45.0,7.0972003410207485,25.21973326786357,True,13.0,47.0,58.0,-18.122532926842823,-25.21973326786357,-23.63959221146031,,,,0,False
CASC3,1431.0,211.0,4.582886478400576,20.55603999544314,True,1239.0,1431.0,1028.0,-15.973153517042563,-20.55603999544314,-18.0067792371179,,,,0,False
CASK,170.0,104.0,1.529981712163651,7.659112874038777,True,121.0,17.0,170.0,-6.129131161875126,-5.924443812540303,-7.659112874038777,,,,0,False
CASP9,754.0,753.0,3.640276829092602,14.6888297222435,True,754.0,1.0,4.0,-12.185885956616064,-8.545609127523461,-14.6888297222435,,,,0,False
CATSPERG,223.0,218.0,1.679992109456106,2.890175615232996,True,5.0,13.0,223.0,-2.890175615232996,-1.21018350577689,-1.9939062824305287,,,,0,False
CAV1,95.0,94.0,0.2257490608637847,0.6731342771812965,True,95.0,1.0,10.0,-0.4473852163175117,-0.6731342771812965,-0.5239317690057245,,,,0,False
CBFA2T2,300.0,298.0,2.077526992318086,10.284503418550791,True,300.0,2.0,2.0,-9.496716206799931,-7.419189214481845,-10.284503418550791,,,,0,False
CBLB,1028.0,1022.0,7.873256336318391,15.991721461146271,True,6.0,1028.0,180.0,-8.11846512482788,-15.991721461146271,-9.007928311080953,,,,0,True
CBLL1,532.0,230.0,2.0630627494213876,10.162322832789275,True,302.0,532.0,232.0,-10.162322832789275,-9.147561531274714,-8.099260083367888,,,,0,False
CBX3,132.0,66.0,15.280360651265692,40.81175971122617,True,66.0,97.0,132.0,-25.53139905996048,-40.81175971122617,-39.11242647536243,,,,0,False
CBX5,562.0,513.0,3.339304268968977,27.487232894414788,True,49.0,233.0,562.0,-24.14792862544581,-25.194838194437885,-27.487232894414788,,,,0,True
CCDC134,112.0,103.0,0.6722181060176489,11.991647176029344,True,9.0,32.0,112.0,-11.991647176029344,-11.319429070011696,-11.949429364211191,,,,0,False
CCDC136,263.0,246.0,0.8107034193660261,3.228046886573756,True,17.0,38.0,263.0,-2.910743835161654,-2.100040415795628,-3.228046886573756,,,,0,False
CCDC138,962.0,784.0,3.5269160020437003,14.676485042112624,True,178.0,962.0,16.0,-11.149569040068924,-14.676485042112624,-13.419315790061384,,,,0,False
CCDC22,619.0,503.0,0.952708812651677,9.396149072804024,True,116.0,1.0,619.0,-9.396149072804024,-8.506454219949003,-8.443440260152347,,,,0,False
CCDC6,185.0,83.0,7.245712012572433,15.445445210213236,True,102.0,185.0,145.0,-8.199733197640803,-15.445445210213236,-9.368846685304602,,,,0,False
CCDC90B,106.0,105.0,1.2189806085721138,19.521857601216293,True,1.0,1.0,106.0,-19.0084979143334,-19.521857601216293,-17.789517305761287,,,,0,False
CCDC93,403.0,301.0,0.5261334545130278,7.573015298196775,True,102.0,92.0,403.0,-7.11295221473698,-7.573015298196775,-6.586818760223952,,,,0,False
CCL5,98.0,95.0,3.271939551056735,7.9897286817799715,True,98.0,20.0,3.0,-7.9897286817799715,-4.7177891307232365,-7.641125768331567,,,,0,False
CCNA2,818.0,351.0,6.642640572398657,11.993883535876504,True,467.0,818.0,384.0,-5.351242963477848,-5.232565427559492,-11.993883535876504,,,,0,False
CCNC,4091.0,1360.0,11.998014532492054,43.159386311488575,True,2731.0,2271.0,4091.0,-31.16137177899652,-41.36951285831497,-43.159386311488575,,,3.0,0,False
CCND2,1321.0,1284.0,4.115462919815325,26.17590141254648,True,1287.0,1321.0,3.0,-22.060438492731155,-26.17590141254648,-23.68555970403744,,,,0,False
CCND3,200.0,199.0,5.36659712211935,18.42962581714094,True,1.0,1.0,200.0,-13.063028695021591,-11.349196307659124,-18.42962581714094,,,,1,False
CCNF,615.0,490.0,3.478583170853822,16.599356694948007,True,615.0,125.0,197.0,-13.120773524094185,-11.953050924377877,-16.599356694948007,,,,0,False
CCNK,662.0,514.0,3.6660336894786134,12.016829254914038,True,148.0,662.0,368.0,-8.350795565435424,-12.016829254914038,-8.161654844599155,,,,0,False
CCNQ,777.0,311.0,2.9006625788132734,9.525613340784812,True,466.0,777.0,412.0,-6.624950761971538,-9.525613340784812,-5.609985370723356,,,,0,False
CCR4,508.0,503.0,3.0034391526641846,11.087061379957031,True,508.0,61.0,5.0,-10.184477483402066,-11.087061379957031,-7.181038330737882,,,,0,False
CD2,989.0,985.0,20.437487401884663,50.578725404681904,True,4.0,669.0,989.0,-30.14123800279724,-50.578725404681904,-40.504026954392685,,,,0,True
CD247,4330.0,4325.0,4.796072701902293,13.262547822993652,True,5.0,4330.0,828.0,-13.262547822993652,-11.933472010237974,-8.466475121091358,0.6885845464824588,0.1639353679412317,6.0,1,True
CD274,167.0,143.0,4.758852957157021,13.196582436494383,True,24.0,167.0,102.0,-8.437729479337362,-13.196582436494383,-7.600914391240054,,,,0,False
CD28,1798.0,1793.0,6.492231966036691,24.968152124245503,True,5.0,1506.0,1798.0,-24.968152124245503,-22.40595141825408,-18.47592015820881,0.6754854307844184,0.5463803561379975,,1,True
CD3E,5711.0,5707.0,13.955136674242413,20.8798633954008,True,4.0,5711.0,1586.0,-20.8798633954008,-17.891807119280895,-6.924726721158388,0.7007847405093005,0.0481985216488277,10.0,1,True
CD5,1201.0,1193.0,4.650804398763377,27.804247897441144,True,8.0,358.0,1201.0,-24.710035021967737,-20.05923062320436,-27.804247897441144,,,,0,True
CD99L2,113.0,,,7.510804389007405,True,,50.0,113.0,,-7.510804389007405,-7.205992355611798,,,,0,
CDADC1,173.0,169.0,1.2566190355693116,8.197202311435294,True,173.0,36.0,4.0,-6.940583275865983,-6.615827250434641,-8.197202311435294,,,,0,False
CDC25B,1256.0,1225.0,8.662244705185879,18.45535731798765,True,1256.0,1208.0,31.0,-18.45535731798765,-9.793112612801773,-9.88138231298644,,,,0,False
CDCA3,127.0,57.0,2.398296569217708,10.58410108059996,True,127.0,74.0,70.0,-9.669195103152637,-7.270898533934929,-10.58410108059996,,,,0,False
