gene,n_known_drugs,tractability_summary,novelty_flag,ot_status
MTHFD2,0,"SM: 2 bucket(s) [Structure with Ligand, High-Quality Ligand]; PR: 4 bucket(s) [UniProt Ubiquitination, Database Ubiquitination, Half-life Data...]",novel_untapped,ok
MYC,0,"SM: 2 bucket(s) [Structure with Ligand, High-Quality Ligand]; PR: 3 bucket(s) [UniProt Ubiquitination, Database Ubiquitination, Small Molecule Binder]",novel_untapped,ok
NATD1,0,"PR: 2 bucket(s) [Database Ubiquitination, Half-life Data]",novel_untapped,ok
NDFIP2,0,"AB: 2 bucket(s) [UniProt loc high conf, UniProt SigP or TMHMM]; PR: 3 bucket(s) [UniProt Ubiquitination, Database Ubiquitination, Half-life Data]",novel_untapped,ok
NDUFA9,3,"SM: 2 bucket(s) [Approved Drug, Structure with Ligand]; PR: 2 bucket(s) [Database Ubiquitination, Half-life Data]",druggable_known,ok
NDUFAF3,3,SM: 1 bucket(s) [Approved Drug]; PR: 1 bucket(s) [Half-life Data],druggable_known,ok
NFATC2,0,"SM: 1 bucket(s) [Structure with Ligand]; PR: 3 bucket(s) [UniProt Ubiquitination, Database Ubiquitination, Half-life Data]",novel_untapped,ok
NFKB1,1,"SM: 4 bucket(s) [Advanced Clinical, Structure with Ligand, High-Quality Ligand...]; AB: 1 bucket(s) [GO CC high conf]; PR: 4 bucket(s) [UniProt Ubiquitination, Database Ubiquitination, Half-life Data...]",druggable_known,ok
NSUN4,0,"SM: 1 bucket(s) [Structure with Ligand]; PR: 2 bucket(s) [Database Ubiquitination, Half-life Data]",novel_untapped,ok
ORAI1,0,"SM: 1 bucket(s) [High-Quality Ligand]; AB: 4 bucket(s) [UniProt loc high conf, UniProt loc med conf, UniProt SigP or TMHMM...]; PR: 4 bucket(s) [UniProt Ubiquitination, Database Ubiquitination, Half-life Data...]",novel_untapped,ok
PDCD5,0,"PR: 2 bucket(s) [Database Ubiquitination, Half-life Data]",novel_untapped,ok
