flagship,direction,pathway_name,overlap,query_size,p_value,fdr,expression_artifact_flag,pathway_size_bg
BCL10,down,Formation of TC-NER Pre-Incision Complex,19,2037,1.0788256818507814e-05,6.180293932730275e-05,False,36
BCL10,down,SUMOylation of chromatin organization proteins,23,2037,1.0745260469042366e-05,6.180293932730275e-05,False,48
BCL10,down,UCH proteinases,28,2037,1.1007976849889337e-05,6.27279950652424e-05,False,64
BCL10,down,Processing of Capped Intronless Pre-mRNA,11,2037,1.1219860338715004e-05,6.326591405652387e-05,True,15
BCL10,down,RNA Polymerase II Transcription Termination,11,2037,1.1219860338715004e-05,6.326591405652387e-05,False,15
BCL10,down,M Phase,89,2037,1.1450806253330582e-05,6.423186632727624e-05,False,295
BCL10,down,Nucleotide Excision Repair,35,2037,1.2346319714979688e-05,6.889630224369494e-05,False,88
BCL10,down,Regulation of PD-L1(CD274) Post-translational modification,29,2037,1.4078122603540186e-05,7.815535074233393e-05,True,68
BCL10,down,MAPK6/MAPK4 signaling,25,2037,1.43919989799442e-05,7.948811744307643e-05,False,55
BCL10,down,DNA Double Strand Break Response,31,2037,1.5446911428081157e-05,8.487920208185411e-05,False,75
BCL10,down,tRNA modification in the mitochondrion,9,2037,1.7376721273646157e-05,9.499862340973052e-05,True,11
BCL10,down,Purine ribonucleoside monophosphate biosynthesis,8,2037,1.753415995120168e-05,9.537520337093034e-05,False,9
BCL10,down,Regulation of CDH1 Function,21,2037,1.7920936588639406e-05,9.698918947720923e-05,False,43
BCL10,down,ATF4 activates genes in response to endoplasmic reticulum  stress,12,2037,2.0078824881589195e-05,0.0001081244719873,False,18
BCL10,down,ER-Phagosome pathway,25,2037,2.1142557105192936e-05,0.0001127254158529,False,56
BCL10,down,PCP/CE pathway,25,2037,2.1142557105192936e-05,0.0001127254158529,False,56
BCL10,down,Hedgehog 'off' state,30,2037,2.4114747569087048e-05,0.0001279388331621,False,73
BCL10,down,Transcription-Coupled Nucleotide Excision Repair (TC-NER),26,2037,2.7652909319707475e-05,0.0001459910947908,False,60
BCL10,down,KEAP1-NFE2L2 pathway,35,2037,2.8930677205102212e-05,0.0001519918992677,False,91
BCL10,down,RNA Polymerase III Transcription Initiation From Type 2 Promoter,11,2037,2.944553239626288e-05,0.0001539458174309,False,16
BCL10,down,Gastrulation,25,2037,3.0629644947114765e-05,0.0001593629353045,False,57
BCL10,down,Circadian clock,34,2037,3.354152403859075e-05,0.0001736741412959,False,88
BCL10,down,Nuclear RNA decay,14,2037,3.631228988269187e-05,0.0001871212258548,False,24
