target_gene,directionality_index,binom_fdr,binom_p,footprint_class,signed_net,primary_rank,n_hits,neglog10fdr
PELO,0.5550935550935551,2.7436306205498563e-34,1.0113835113998179e-35,net_derepressed_on_KO,267,182.0,481,33.56167435880173
HYKK,0.5522388059701493,4.4718390274077925e-19,2.6952195409867252e-20,net_derepressed_on_KO,148,183.0,268,18.349513838119574
ZNF304,0.5490196078431373,1.3765231465956897e-56,3.107991622117261e-58,net_derepressed_on_KO,448,184.0,816,55.861216481434276
ZNF613,0.5476344782890473,6.75897220085621e-212,1.6818012111613461e-214,net_derepressed_on_KO,1690,185.0,3086,211.17011933977335
EDF1,0.5476190476190477,3.7202813917318425e-06,4.748492975346606e-07,net_derepressed_on_KO,46,186.0,84,5.429424210049667
AP1S2,0.5471698113207547,9.663661308287638e-26,4.443983958008968e-27,net_derepressed_on_KO,203,187.0,371,25.01485829959622
TBC1D14,0.5471698113207547,1.1998198998828986e-07,1.3368189650340285e-08,net_derepressed_on_KO,58,188.0,106,6.920883939249987
COPRS,0.5465924895688457,1.8648428644188407e-49,5.018285101928868e-51,net_derepressed_on_KO,393,189.0,719,48.72935775687989
RWDD2B,0.5455543358946213,2.7489702996163492e-62,5.446766329531979e-64,net_derepressed_on_KO,497,190.0,911,61.56082995232911
CROT,0.5452631578947369,1.2651443644433723e-32,4.885222456011179e-34,net_derepressed_on_KO,259,191.0,475,31.897859914722254
PTCH1,0.5452054794520548,3.8330696606351546e-25,1.7980208803458608e-26,net_derepressed_on_KO,199,192.0,365,24.416453287984222
ING3,0.5444444444444444,1.3779436267510817e-12,1.1466990092675576e-13,net_derepressed_on_KO,98,193.0,180,11.860768549548663
CRYZL1,0.5430025445292621,1.476653303515327e-132,8.301156714997229e-135,net_derepressed_on_KO,1067,194.0,1965,131.83072145867885
DOT1L,0.5428571428571428,8.012786330787955e-50,2.126700270267193e-51,net_derepressed_on_KO,399,195.0,735,49.09621643801486
KPNA4,0.5405405405405406,2.4558732265939353e-05,3.3971668169915183e-06,net_derepressed_on_KO,40,196.0,74,4.60979405545095
SLC7A6,0.5401459854014599,1.25724713685808e-18,7.751343973440748e-20,net_derepressed_on_KO,148,197.0,274,17.900579344729227
BLOC1S2,0.536,1.3847391334186396e-08,1.429276407178026e-09,net_derepressed_on_KO,67,198.0,125,7.85863203424399
TRMT61A,0.5353075170842825,4.8057290376242546e-29,2.046121846265234e-30,net_derepressed_on_KO,235,199.0,439,28.318240719753934
FITM2,0.5350877192982456,8.749111774204908e-194,2.660774938243129e-196,net_derepressed_on_KO,1586,200.0,2964,193.0580360351082
SOD2,0.5348837209302325,5.165865096825438e-06,6.669778822829637e-07,net_derepressed_on_KO,46,201.0,86,5.286856939329811
DEGS1,0.5344827586206896,5.976863633559861e-08,6.438995104259033e-09,net_derepressed_on_KO,62,202.0,116,7.22352665279407
TTC7A,0.5344827586206896,5.976863633559861e-08,6.438995104259033e-09,net_derepressed_on_KO,62,203.0,116,7.22352665279407
CTSO,-0.5339805825242718,4.29279261068774e-07,4.9807629682571795e-08,net_reduced_on_KO,-55,204.0,103,6.367260092235568
ARHGAP27,0.5328753680078508,2.893118411545455e-66,5.279121237544927e-68,net_derepressed_on_KO,543,205.0,1019,65.5386337908842
TENT2,0.5326984126984127,3.894354757758907e-102,3.768383094320205e-104,net_derepressed_on_KO,839,206.0,1575,101.40956448878944
DCAKD,0.5324675324675324,1.5371402060646666e-139,8.216213432103093e-142,net_derepressed_on_KO,1148,207.0,2156,138.81328651770315
NATD1,0.5324074074074074,3.721361307502714e-56,8.573775014981832e-58,net_derepressed_on_KO,460,208.0,864,55.429298162217904
ZNF254,0.5308641975308642,1.3186815657291922e-05,1.7730682926908962e-06,net_derepressed_on_KO,43,209.0,81,4.879860064910734
EDC3,0.5307017543859649,2.9517318017467608e-117,2.0673819641761482e-119,net_derepressed_on_KO,968,210.0,1824,116.52992310562708
EGR3,0.5304347826086957,9.050656680259056e-08,9.925611878636325e-09,net_derepressed_on_KO,61,211.0,115,7.043319908942156
ARID4B,0.5298507462686567,1.5673284795832864e-17,1.0298637968324425e-18,net_derepressed_on_KO,142,212.0,268,16.804839974864894
SSR2,0.5294117647058824,2.0134690439252093e-13,1.5939267429101052e-14,net_derepressed_on_KO,108,213.0,204,12.69605504306465
GDAP1,0.5294117647058824,7.853344003173047e-06,1.029887431251981e-06,net_derepressed_on_KO,45,214.0,85,5.104945378555868
LZTS1,0.5288888888888889,2.3618072336166768e-43,7.13918323312386e-45,net_derepressed_on_KO,357,215.0,675,42.62675555159672
RASGRP1,0.5285126396237507,1.942662631910851e-108,1.6112767198597052e-110,net_derepressed_on_KO,899,216.0,1701,107.71160261361588
ZEB1,0.5276836158192091,1.911907807841961e-56,4.352052608395211e-58,net_derepressed_on_KO,467,217.0,885,55.718533053226665
