gene,is_ctx_specific,delivery_modality,polarity,kinetic_archetype,avoid_tier,n_avoid_flags,avoid_flags,n_concept_modules,stimulation_gated,ctx_specific_de,de_Rest,de_Stim8hr,de_Stim48hr,loeuf,pli,breadth_max_de
ALG13,False,待新模態 (無已知遞送方式),repressor,early_transient(早期瞬態),high_risk,2,高遺傳約束(LOEUF 0.16); 劑量敏感(pLI 1.00),0,False,151.0,35.0,186.0,4.0,0.16,0.99998,186.0
ALG3,False,抗體 (表面但胞外域有限),repressor,early_transient(早期瞬態),clear,0,,0,False,114.0,8.0,122.0,10.0,1.188,3.6777e-10,122.0
ALG6,False,抗體 (表面但胞外域有限),repressor,late_sustained(晚期持續),clear,0,,0,False,191.0,142.0,260.0,333.0,0.641,0.00030541,333.0
ALG8,False,抗體 (表面但胞外域有限),mixed,late_sustained(晚期持續),clear,0,,0,False,725.0,82.0,550.0,807.0,0.83,1.1804e-08,807.0
ALKBH2,False,待新模態 (無已知遞送方式),repressor,other(其他),clear,0,,0,False,268.0,365.0,107.0,97.0,1.198,0.0032745,365.0
ALS2,False,待新模態 (無已知遞送方式),mixed,other(其他),clear,0,,0,False,101.0,102.0,6.0,1.0,0.516,8.7204e-12,102.0
AMBRA1,True,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),high_risk,2,高遺傳約束(LOEUF 0.14); 劑量敏感(pLI 1.00),0,True,602.0,6.0,16.0,608.0,0.14,1.0,608.0
AMD1,False,小分子 (胞內可成藥口袋),mixed,late_sustained(晚期持續),high_risk,2,高遺傳約束(LOEUF 0.28); 劑量敏感(pLI 0.98),0,False,412.0,16.0,194.0,428.0,0.284,0.98227,428.0
AMER1,False,待新模態 (無已知遞送方式),mixed,other(其他),clear,0,,0,False,275.0,276.0,2.0,1.0,0.371,0.8538,276.0
ANKAR,False,待新模態 (無已知遞送方式),repressor,other(其他),clear,0,,0,False,285.0,292.0,136.0,7.0,1.072,1.02e-31,292.0
ANKRD11,False,待新模態 (無已知遞送方式),mixed,early_transient(早期瞬態),high_risk,2,高遺傳約束(LOEUF 0.11); 劑量敏感(pLI 1.00),0,False,54.0,15.0,69.0,19.0,0.107,1.0,69.0
ANKRD61,True,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),clear,0,,0,True,1176.0,1.0,82.0,1177.0,1.146,0.0039262,1177.0
ANP32B,False,待新模態 (無已知遞送方式),mixed,early_transient(早期瞬態),high_risk,2,高遺傳約束(LOEUF 0.33); 劑量敏感(pLI 0.96),0,False,181.0,93.0,274.0,31.0,0.331,0.95827,274.0
AP1S2,False,待新模態 (無已知遞送方式),repressor,other(其他),clear,0,,0,False,217.0,221.0,146.0,4.0,0.454,0.86702,221.0
AP3D1,False,待新模態 (無已知遞送方式),repressor,other(其他),high_risk,2,高遺傳約束(LOEUF 0.30); 劑量敏感(pLI 0.99),0,False,71.0,72.0,1.0,2.0,0.296,0.98648,72.0
APOBEC3B,False,待新模態 (無已知遞送方式),repressor,early_transient(早期瞬態),clear,0,,0,False,72.0,113.0,185.0,47.0,1.358,5.2144e-16,185.0
APOBEC3G,False,待新模態 (無已知遞送方式),repressor,other(其他),clear,0,,0,False,103.0,104.0,1.0,2.0,1.667,5.6719999999999986e-21,104.0
APPL2,False,待新模態 (無已知遞送方式),repressor,early_transient(早期瞬態),clear,0,,0,False,458.0,2.0,460.0,9.0,1.089,1.1641e-18,460.0
ARF1,False,待新模態 (無已知遞送方式),repressor,other(其他),avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.26); 劑量敏感(pLI 1.00),0,False,1746.0,1754.0,58.0,8.0,0.263708322947604,0.99917045222594,1754.0
ARF4,False,待新模態 (無已知遞送方式),repressor,early_transient(早期瞬態),high_risk,2,高遺傳約束(LOEUF 0.30); 劑量敏感(pLI 0.96),0,False,148.0,6.0,154.0,13.0,0.298,0.95992,154.0
ARHGAP27,True,待新模態 (無已知遞送方式),repressor,early_transient(早期瞬態),clear,0,,0,True,925.0,9.0,934.0,76.0,0.567,0.0012114,934.0
ARHGAP30,False,待新模態 (無已知遞送方式),mixed,other(其他),high_risk,2,泛效應(breadth top10%); 劑量敏感(pLI 1.00),0,False,1541.0,1840.0,299.0,1484.0,0.4528866412654388,0.9991164905958896,1840.0
ARHGAP45,False,待新模態 (無已知遞送方式),mixed,early_transient(早期瞬態),clear,0,,0,False,33.0,34.0,50.0,1.0,,,50.0
ARID2,False,小分子 (胞內可成藥口袋),mixed,other(其他),high_risk,2,高遺傳約束(LOEUF 0.10); 劑量敏感(pLI 1.00),0,False,82.0,298.0,216.0,270.0,0.096,1.0,298.0
ARID4B,False,待新模態 (無已知遞送方式),repressor,early_transient(早期瞬態),high_risk,2,高遺傳約束(LOEUF 0.19); 劑量敏感(pLI 1.00),0,False,234.0,8.0,242.0,18.0,0.187,1.0,242.0
ARIH1,False,待新模態 (無已知遞送方式),repressor,late_sustained(晚期持續),high_risk,2,高遺傳約束(LOEUF 0.17); 劑量敏感(pLI 1.00),0,False,437.0,434.0,601.0,871.0,0.166,0.99997,871.0
ARL1,False,待新模態 (無已知遞送方式),repressor,late_sustained(晚期持續),clear,0,,0,False,136.0,1.0,10.0,137.0,0.696,0.093716,137.0
ARL6IP1,False,抗體 (表面但胞外域有限),activator,late_sustained(晚期持續),clear,0,,0,False,117.0,1.0,1.0,118.0,0.777,0.022339,118.0
ARMC8,False,待新模態 (無已知遞送方式),repressor,other(其他),high_risk,2,高遺傳約束(LOEUF 0.17); 劑量敏感(pLI 1.00),0,False,48.0,37.0,85.0,63.0,0.172,0.99999,85.0
ARMH3,False,待新模態 (無已知遞送方式),mixed,other(其他),clear,0,,0,False,109.0,116.0,7.0,13.0,0.573,6.2765e-06,116.0
ARNT,False,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),high_risk,2,泛效應(breadth top10%); 劑量敏感(pLI 1.00),0,False,627.0,2320.0,2643.0,2947.0,0.3873464603285701,0.9999996812420346,2947.0
ARPC1B,False,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),clear,0,,0,False,61.0,4.0,44.0,65.0,0.645,0.010999,65.0
ARPC2,False,待新模態 (無已知遞送方式),repressor,other(其他),high_risk,2,高遺傳約束(LOEUF 0.17); 劑量敏感(pLI 1.00),0,False,823.0,216.0,1039.0,856.0,0.168,0.99769,1039.0
ARPC3,False,待新模態 (無已知遞送方式),repressor,other(其他),clear,0,,0,False,758.0,148.0,906.0,720.0,0.683,0.21578,906.0
ASXL1,False,待新模態 (無已知遞送方式),activator,other(其他),clear,0,,0,False,266.0,275.0,42.0,9.0,0.794,1.2511e-14,275.0
ATAD3A,True,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),clear,0,,0,True,718.0,2.0,7.0,720.0,0.827,4.0861e-09,720.0
ATF4,False,待新模態 (無已知遞送方式),mixed,early_transient(早期瞬態),clear,0,,0,False,976.0,86.0,1062.0,393.0,1.091,0.015659,1062.0
ATF7IP,False,待新模態 (無已知遞送方式),repressor,late_sustained(晚期持續),high_risk,2,高遺傳約束(LOEUF 0.21); 劑量敏感(pLI 1.00),0,False,66.0,8.0,6.0,74.0,0.213,0.99993,74.0
ATF7IP2,False,待新模態 (無已知遞送方式),repressor,other(其他),caution,1,泛效應(breadth top10%),0,False,1877.0,854.0,2731.0,1380.0,0.8461628384545281,1.7715256641434115e-09,2731.0
ATG14,False,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),clear,0,,0,False,248.0,19.0,6.0,267.0,0.465,0.17435,267.0
ATM,False,小分子 (胞內可成藥口袋),repressor,late_sustained(晚期持續),clear,0,,0,False,46.0,97.0,71.0,143.0,0.71,5.5884e-47,143.0
ATP1B3,False,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,other(其他),clear,0,,0,False,167.0,329.0,216.0,162.0,0.683,0.10244,329.0
ATP23,False,待新模態 (無已知遞送方式),repressor,late_sustained(晚期持續),clear,0,,0,False,43.0,54.0,67.0,97.0,,,97.0
ATP2A2,False,抗體 (表面但胞外域有限),repressor,other(其他),avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.20); 劑量敏感(pLI 1.00),0,False,1953.0,3519.0,3260.0,1566.0,0.2003169158021933,0.9999999999999998,3519.0
ATP2A3,False,抗體 (表面但胞外域有限),repressor,early_transient(早期瞬態),clear,0,,0,False,72.0,8.0,80.0,5.0,0.655,2.247e-09,80.0
ATP5F1E,False,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),clear,0,,0,False,402.0,24.0,4.0,426.0,,,426.0
ATP5ME,False,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),clear,0,,0,False,368.0,365.0,101.0,733.0,1.367,0.085765,733.0
ATP5MF,False,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),clear,0,,0,False,593.0,96.0,12.0,689.0,1.503,0.01917,689.0
ATP5PO,False,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),clear,0,,0,False,734.0,423.0,94.0,1157.0,,,1157.0
ATRX,False,小分子 (胞內可成藥口袋),repressor,early_transient(早期瞬態),high_risk,2,高遺傳約束(LOEUF 0.12); 劑量敏感(pLI 1.00),0,False,617.0,214.0,831.0,347.0,0.119,1.0,831.0
ATXN1L,False,待新模態 (無已知遞送方式),mixed,other(其他),high_risk,2,高遺傳約束(LOEUF 0.30); 劑量敏感(pLI 0.98),0,False,95.0,98.0,3.0,4.0,0.305,0.97897,98.0
ATXN2L,False,待新模態 (無已知遞送方式),mixed,other(其他),high_risk,2,高遺傳約束(LOEUF 0.14); 劑量敏感(pLI 1.00),0,False,32.0,118.0,120.0,86.0,0.143,1.0,120.0
ATXN7L3,False,待新模態 (無已知遞送方式),repressor,early_transient(早期瞬態),avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.20); 劑量敏感(pLI 1.00),0,False,1397.0,545.0,1942.0,503.0,0.196,0.99892,1942.0
AUP1,False,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),clear,0,,0,False,231.0,10.0,128.0,241.0,0.761,0.00016038,241.0
AVEN,False,待新模態 (無已知遞送方式),repressor,early_transient(早期瞬態),clear,0,,0,False,154.0,3.0,157.0,1.0,1.414,2.7422e-09,157.0
B3GAT1,False,待新模態 (無已知遞送方式),activator,other(其他),clear,0,,0,False,188.0,195.0,7.0,8.0,0.643,0.13521,195.0
BAHD1,False,待新模態 (無已知遞送方式),repressor,late_sustained(晚期持續),high_risk,2,高遺傳約束(LOEUF 0.30); 劑量敏感(pLI 0.99),0,False,362.0,31.0,96.0,393.0,0.3,0.98547,393.0
BAZ1A,False,待新模態 (無已知遞送方式),mixed,other(其他),high_risk,2,高遺傳約束(LOEUF 0.18); 劑量敏感(pLI 1.00),0,False,85.0,89.0,4.0,16.0,0.176,1.0,89.0
