reactome_version,pathway_id,pathway_name,pathway_size_bg,expression_artifact_flag,n_rows_used
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-141405,Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components,17,True,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-141424,Amplification of signal from the kinetochores,81,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-141430,Inactivation of APC/C via direct inhibition of the APC/C complex,17,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,81,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1428517,Aerobic respiration and respiratory electron transport,222,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1430728,Metabolism,1379,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1433557,Signaling by SCF-KIT,35,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1433559,Regulation of KIT signaling,13,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1442490,Collagen degradation,15,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane,55,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1461973,Defensins,5,False,2
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1474151,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",8,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1474165,Reproduction,70,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1474228,Degradation of the extracellular matrix,41,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1474244,Extracellular matrix organization,118,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1474290,Collagen formation,29,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1482788,Acyl chain remodelling of PC,13,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1482798,Acyl chain remodeling of CL,6,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1482801,Acyl chain remodelling of PS,8,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1482839,Acyl chain remodelling of PE,12,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1482925,Acyl chain remodelling of PG,6,False,1
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1483148,Synthesis of PG,7,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1483166,Synthesis of PA,25,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1483191,Synthesis of PC,19,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1483206,Glycerophospholipid biosynthesis,87,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1483213,Synthesis of PE,9,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1483248,Synthesis of PIPs at the ER membrane,5,False,1
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1483249,Inositol phosphate metabolism,54,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1483255,PI Metabolism,72,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1483257,Phospholipid metabolism,158,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1489509,DAG and IP3 signaling,29,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1500620,Meiosis,56,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1500931,Cell-Cell communication,194,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1502540,Signaling by Activin,11,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1538133,G0 and Early G1,26,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-156580,Phase II - Conjugation of compounds,43,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-156581,Methylation,6,False,2
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-156584,Cytosolic sulfonation of small molecules,8,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-156590,Glutathione conjugation,23,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1566948,Elastic fibre formation,17,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1566977,Fibronectin matrix formation,5,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-156711,Polo-like kinase mediated events,15,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,17,True,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-157118,Signaling by NOTCH,132,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-157579,Telomere Maintenance,59,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-157858,Gap junction trafficking and regulation,17,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-15869,Metabolism of nucleotides,72,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1592230,Mitochondrial biogenesis,82,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-159227,Transport of the SLBP independent Mature mRNA,26,True,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-159230,Transport of the SLBP Dependant Mature mRNA,26,True,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-159231,Transport of Mature mRNA Derived from an Intronless Transcript,28,True,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-159234,Transport of Mature mRNAs Derived from Intronless Transcripts,28,True,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-159236,Transport of Mature mRNA derived from an Intron-Containing Transcript,51,True,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1592389,Activation of Matrix Metalloproteinases,7,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-159418,Recycling of bile acids and salts,5,False,1
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1606322,ZBP1(DAI) mediated induction of type I IFNs,17,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1614517,Sulfide oxidation to sulfate,6,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1614558,Degradation of cysteine and homocysteine,13,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1614635,Sulfur amino acid metabolism,23,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-162582,Signal Transduction,1528,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-162587,HIV Life Cycle,108,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-162588,Budding and maturation of HIV virion,20,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-162592,Integration of provirus,7,False,1
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-162594,Early Phase of HIV Life Cycle,12,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-162599,Late Phase of HIV Life Cycle,97,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-162658,Golgi Cisternae Pericentriolar Stack Reorganization,14,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-162710,Synthesis of glycosylphosphatidylinositol (GPI),16,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-162791,Attachment of GPI anchor to uPAR,7,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-162906,HIV Infection,163,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-162909,Host Interactions of HIV factors,94,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1630316,Glycosaminoglycan metabolism,79,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-163125,Post-translational modification: synthesis of GPI-anchored proteins,38,True,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-163210,Formation of ATP by chemiosmotic coupling,17,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1632852,Macroautophagy,116,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-163359,Glucagon signaling in metabolic regulation,19,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-163560,Triglyceride catabolism,13,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-163615,PKA activation,12,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-163680,AMPK inhibits chREBP transcriptional activation activity,5,False,2
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-163685,Integration of energy metabolism,62,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-163765,ChREBP activates metabolic gene expression,6,False,1
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-163767,PP2A-mediated dephosphorylation of key metabolic factors,6,False,1
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1638074,Keratan sulfate/keratin metabolism,22,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,23,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-163841,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",38,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1640170,Cell Cycle,538,True,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1643685,Disease,1319,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1643713,Signaling by EGFR in Cancer,17,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-164378,PKA activation in glucagon signalling,11,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-164938,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,17,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-164940,Nef mediated downregulation of MHC class I complex cell surface expression,7,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-164944,Nef and signal transduction,7,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-164952,The role of Nef in HIV-1 replication and disease pathogenesis,23,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-165054,Rev-mediated nuclear export of HIV RNA,27,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1650814,Collagen biosynthesis and modifying enzymes,18,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-165159,MTOR signalling,43,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-165181,Inhibition of TSC complex formation by AKT (PKB),5,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1655829,Regulation of cholesterol biosynthesis by SREBP (SREBF),45,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,109,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1660499,Synthesis of PIPs at the plasma membrane,45,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1660514,Synthesis of PIPs at the Golgi membrane,14,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1660516,Synthesis of PIPs at the early endosome membrane,16,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1660517,Synthesis of PIPs at the late endosome membrane,10,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-166058,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,85,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1660661,Sphingolipid de novo biosynthesis,26,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1660662,Glycosphingolipid metabolism,40,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-166166,MyD88-independent TLR4 cascade,88,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-166208,mTORC1-mediated signalling,19,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1663150,The activation of arylsulfatases,7,False,1
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-166520,Signaling by NTRKs,102,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-166658,Complement cascade,15,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-167044,Signalling to RAS,17,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-167152,Formation of HIV elongation complex in the absence of HIV Tat,28,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-167158,Formation of the HIV-1 Early Elongation Complex,18,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-167160,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection,15,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-167161,HIV Transcription Initiation,34,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-167162,RNA Polymerase II HIV Promoter Escape,34,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-167169,HIV Transcription Elongation,26,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-167172,Transcription of the HIV genome,47,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-167200,Formation of HIV-1 elongation complex containing HIV-1 Tat,26,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-167238,Pausing and recovery of Tat-mediated HIV elongation,18,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-167242,Abortive elongation of HIV-1 transcript in the absence of Tat,10,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-167243,Tat-mediated HIV elongation arrest and recovery,18,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-167246,Tat-mediated elongation of the HIV-1 transcript,26,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-167287,HIV elongation arrest and recovery,20,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-167290,Pausing and recovery of HIV elongation,20,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-167590,Nef Mediated CD4 Down-regulation,9,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1679131,Trafficking and processing of endosomal TLR,8,True,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-168138,Toll Like Receptor 9 (TLR9) Cascade,87,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-168142,Toll Like Receptor 10 (TLR10) Cascade,77,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-168164,Toll Like Receptor 3 (TLR3) Cascade,85,False,10
