reactome_version,pathway_id,pathway_name,pathway_size_bg,expression_artifact_flag,n_rows_used
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5423646,Aflatoxin activation and detoxification,7,False,1
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5467337,APC truncation mutants have impaired AXIN binding,13,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5467340,AXIN missense mutants destabilize the destruction complex,13,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5467348,Truncations of AMER1 destabilize the destruction complex,13,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-556833,Metabolism of lipids,513,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5576886,Phase 4 - resting membrane potential,5,False,2
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5576891,Cardiac conduction,48,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5576892,Phase 0 - rapid depolarisation,8,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5578749,Transcriptional regulation by small RNAs,19,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5578768,Physiological factors,5,False,1
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5578775,Ion homeostasis,29,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5579029,Metabolic disorders of biological oxidation enzymes,16,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5601884,PIWI-interacting RNA (piRNA) biogenesis,14,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5602358,Diseases associated with the TLR signaling cascade,18,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5602498,MyD88 deficiency (TLR2/4),7,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5603029,IkBA variant leads to EDA-ID,6,False,2
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5603041,IRAK4 deficiency (TLR2/4),8,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5607761,Dectin-1 mediated noncanonical NF-kB signaling,37,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5607763,CLEC7A (Dectin-1) induces NFAT activation,11,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5607764,CLEC7A (Dectin-1) signaling,70,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5609975,Diseases associated with glycosylation precursor biosynthesis,16,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5610780,Degradation of GLI1 by the proteasome,36,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5610783,Degradation of GLI2 by the proteasome,34,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5610785,GLI3 is processed to GLI3R by the proteasome,34,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5610787,Hedgehog 'off' state,73,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5617472,Activation of anterior HOX genes in hindbrain development during early embryogenesis,48,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5617833,Cilium Assembly,176,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5619084,ABC transporter disorders,44,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5619102,SLC transporter disorders,48,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5619107,Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC),24,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5619115,Disorders of transmembrane transporters,92,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5619507,Activation of HOX genes during differentiation,48,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5620912,Anchoring of the basal body to the plasma membrane,84,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5620916,VxPx cargo-targeting to cilium,13,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5620920,Cargo trafficking to the periciliary membrane,48,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5620922,BBSome-mediated cargo-targeting to cilium,18,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5620924,Intraflagellar transport,41,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5620971,Pyroptosis,17,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5621480,Dectin-2 family,7,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5621481,C-type lectin receptors (CLRs),87,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5621575,CD209 (DC-SIGN) signaling,17,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5624138,Trafficking of myristoylated proteins to the cilium,5,False,2
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5625740,RHO GTPases activate PKNs,37,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5625886,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,13,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5625900,RHO GTPases activate CIT,17,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5625970,RHO GTPases activate KTN1,8,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5626467,RHO GTPases activate IQGAPs,18,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5627117,RHO GTPases Activate ROCKs,17,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5627123,RHO GTPases activate PAKs,16,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5628897,TP53 Regulates Metabolic Genes,66,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5632684,Hedgehog 'on' state,52,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5633007,Regulation of TP53 Activity,144,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5633008,TP53 Regulates Transcription of Cell Death Genes,37,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5635838,Activation of SMO,10,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5637810,Constitutive Signaling by EGFRvIII,13,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5637812,Signaling by EGFRvIII in Cancer,13,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5637815,Signaling by Ligand-Responsive EGFR Variants in Cancer,15,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5651801,PCNA-Dependent Long Patch Base Excision Repair,20,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5652084,Fructose metabolism,5,False,1
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5653656,Vesicle-mediated transport,491,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654687,Downstream signaling of activated FGFR1,16,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654688,SHC-mediated cascade:FGFR1,9,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654689,PI-3K cascade:FGFR1,9,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654693,FRS-mediated FGFR1 signaling,11,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654695,PI-3K cascade:FGFR2,7,False,2
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654696,Downstream signaling of activated FGFR2,14,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654699,SHC-mediated cascade:FGFR2,7,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654700,FRS-mediated FGFR2 signaling,9,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654704,SHC-mediated cascade:FGFR3,7,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654706,FRS-mediated FGFR3 signaling,9,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654708,Downstream signaling of activated FGFR3,14,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654710,PI-3K cascade:FGFR3,7,False,2
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654712,FRS-mediated FGFR4 signaling,9,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654716,Downstream signaling of activated FGFR4,14,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654719,SHC-mediated cascade:FGFR4,7,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654720,PI-3K cascade:FGFR4,7,False,2
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654726,Negative regulation of FGFR1 signaling,17,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654727,Negative regulation of FGFR2 signaling,15,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654732,Negative regulation of FGFR3 signaling,15,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654733,Negative regulation of FGFR4 signaling,15,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654736,Signaling by FGFR1,31,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654738,Signaling by FGFR2,40,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654741,Signaling by FGFR3,26,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5654743,Signaling by FGFR4,25,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5655253,Signaling by FGFR2 in disease,18,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5655291,Signaling by FGFR4 in disease,10,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5655302,Signaling by FGFR1 in disease,29,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5655332,Signaling by FGFR3 in disease,11,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5655862,Translesion synthesis by POLK,14,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5656121,Translesion synthesis by POLI,14,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5656169,Termination of translesion DNA synthesis,27,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5658442,Regulation of RAS by GAPs,41,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5660526,Response to metal ions,8,False,2
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5660668,CLEC7A/inflammasome pathway,5,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5661270,Formation of xylulose-5-phosphate,5,False,1
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5663084,Diseases of carbohydrate metabolism,22,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,327,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5663205,Infectious disease,814,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs,30,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5663220,RHO GTPases Activate Formins,112,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5666185,RHO GTPases Activate Rhotekin and Rhophilins,6,False,1
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5668541,TNFR2 non-canonical NF-kB pathway,68,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5668599,RHO GTPases Activate NADPH Oxidases,17,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5668914,Diseases of metabolism,151,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5669034,TNFs bind their physiological receptors,20,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5673000,RAF activation,31,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5673001,RAF/MAP kinase cascade,164,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5674135,MAP2K and MAPK activation,32,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5674400,Constitutive Signaling by AKT1 E17K in Cancer,24,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5674499,Negative feedback regulation of MAPK pathway,6,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5675221,Negative regulation of MAPK pathway,40,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5675482,Regulation of necroptotic cell death,27,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5676590,NIK-->noncanonical NF-kB signaling,36,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5676594,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,16,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5678895,Defective CFTR causes cystic fibrosis,38,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5683057,MAPK family signaling cascades,196,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5683826,Surfactant metabolism,12,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5684264,MAP3K8 (TPL2)-dependent MAPK1/3 activation,11,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5684996,MAPK1/MAPK3 signaling,170,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5685938,HDR through Single Strand Annealing (SSA),35,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5685939,HDR through MMEJ (alt-NHEJ),12,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5685942,HDR through Homologous Recombination (HRR),58,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5686938,Regulation of TLR by endogenous ligand,7,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5687128,MAPK6/MAPK4 signaling,55,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5688426,Deubiquitination,204,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5689603,UCH proteinases,64,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5689877,Josephin domain DUBs,7,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5689880,Ub-specific processing proteases,134,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5689896,Ovarian tumor domain proteases,32,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5689901,Metalloprotease DUBs,20,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5690714,CD22 mediated BCR regulation,5,False,1
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5693532,DNA Double-Strand Break Repair,154,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5693537,Resolution of D-Loop Structures,30,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5693538,Homology Directed Repair,100,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5693548,Sensing of DNA Double Strand Breaks,6,False,2
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5693554,Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA),23,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5693565,Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,44,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5693567,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),94,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5693568,Resolution of D-loop Structures through Holliday Junction Intermediates,30,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5693571,Nonhomologous End-Joining (NHEJ),38,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5693579,Homologous DNA Pairing and Strand Exchange,38,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5693606,DNA Double Strand Break Response,75,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5693607,Processing of DNA double-strand break ends,63,True,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5693616,Presynaptic phase of homologous DNA pairing and strand exchange,37,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5694530,Cargo concentration in the ER,24,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5696394,DNA Damage Recognition in GG-NER,33,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5696395,Formation of Incision Complex in GG-NER,36,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5696397,Gap-filling DNA repair synthesis and ligation in GG-NER,22,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5696398,Nucleotide Excision Repair,88,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5696399,Global Genome Nucleotide Excision Repair (GG-NER),74,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-5696400,Dual Incision in GG-NER,35,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-597592,Post-translational protein modification,1009,True,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-606279,Deposition of new CENPA-containing nucleosomes at the centromere,31,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-611105,Respiratory electron transport,136,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-622312,Inflammasomes,16,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-674695,RNA Polymerase II Pre-transcription Events,58,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6781823,Formation of TC-NER Pre-Incision Complex,36,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6781827,Transcription-Coupled Nucleotide Excision Repair (TC-NER),60,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6782135,Dual incision in TC-NER,48,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6782210,Gap-filling DNA repair synthesis and ligation in TC-NER,47,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6782315,tRNA modification in the nucleus and cytosol,38,True,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6783310,Fanconi Anemia Pathway,33,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6783589,Interleukin-6 family signaling,15,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6783783,Interleukin-10 signaling,30,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6783984,Glycine degradation,5,False,1
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6784531,tRNA processing in the nucleus,40,True,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6785470,tRNA processing in the mitochondrion,5,True,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,70,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6787450,tRNA modification in the mitochondrion,11,True,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6787639,GDP-fucose biosynthesis,6,False,1
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6788467,IL-6-type cytokine receptor ligand interactions,8,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6790901,rRNA modification in the nucleus and cytosol,17,True,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,37,True,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6791312,TP53 Regulates Transcription of Cell Cycle Genes,47,True,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6793080,rRNA modification in the mitochondrion,13,True,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6794361,Neurexins and neuroligins,23,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6794362,Protein-protein interactions at synapses,32,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,46,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6798695,Neutrophil degranulation,324,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6799198,Complex I biogenesis,61,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6802946,Signaling by moderate kinase activity BRAF mutants,36,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6802948,Signaling by high-kinase activity BRAF mutants,29,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6802949,Signaling by RAS mutants,36,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6802952,Signaling by BRAF and RAF1 fusions,53,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6802953,RAS signaling downstream of NF1 loss-of-function variants,5,False,2
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6802955,Paradoxical activation of RAF signaling by kinase inactive BRAF,36,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6802957,Oncogenic MAPK signaling,66,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6803157,Antimicrobial peptides,12,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6803204,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,17,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6803205,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,13,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6803207,TP53 Regulates Transcription of Caspase Activators and Caspases,10,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6803211,TP53 Regulates Transcription of Death Receptors and Ligands,11,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6803529,FGFR2 alternative splicing,13,True,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6804114,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,18,True,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6804115,TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,19,True,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6804116,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,14,True,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,80,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6804757,Regulation of TP53 Degradation,33,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6804758,Regulation of TP53 Activity through Acetylation,29,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6804759,Regulation of TP53 Activity through Association with Co-factors,12,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6804760,Regulation of TP53 Activity through Methylation,17,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6805567,Keratinization,10,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6806003,Regulation of TP53 Expression and Degradation,34,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6806667,Metabolism of fat-soluble vitamins,17,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6806834,Signaling by MET,46,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6807004,Negative regulation of MET activity,13,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6807047,Cholesterol biosynthesis via desmosterol (Bloch pathway),9,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6807062,Zymostenol biosynthesis via lathosterol (Kandutsch-Russell pathway),7,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6807070,PTEN Regulation,108,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6807505,RNA polymerase II transcribes snRNA genes,45,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6807878,COPI-mediated anterograde transport,69,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6809371,Formation of the cornified envelope,10,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6811434,COPI-dependent Golgi-to-ER retrograde traffic,75,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6811436,COPI-independent Golgi-to-ER retrograde traffic,35,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6811438,Intra-Golgi traffic,36,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6811440,Retrograde transport at the Trans-Golgi-Network,41,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6811442,Intra-Golgi and retrograde Golgi-to-ER traffic,159,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6811555,PI5P Regulates TP53 Acetylation,9,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",64,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6814122,Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding,22,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-6814848,Glycerophospholipid catabolism,7,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-68616,Assembly of the ORC complex at the origin of replication,17,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-68689,CDC6 association with the ORC:origin complex,8,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-68867,Assembly of the pre-replicative complex,70,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-68875,Mitotic Prophase,84,True,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-68877,Mitotic Prometaphase,168,True,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-68882,Mitotic Anaphase,178,True,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-68884,Mitotic Telophase/Cytokinesis,13,True,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-68886,M Phase,295,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-68911,G2 Phase,5,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-68949,Orc1 removal from chromatin,48,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-68952,DNA replication initiation,7,True,4
