target,pass_fraction,in_baseline,stability_class
AMFR,0.0,False,NEVER
AMIGO1,0.0,False,NEVER
AMIGO2,0.0,False,NEVER
AMMECR1,0.0,False,NEVER
AMMECR1L,0.0,False,NEVER
AMN,0.0,False,NEVER
AMN1,0.0,False,NEVER
AMOT,0.0,False,NEVER
AMPD2,0.0,False,NEVER
AMPD3,0.0,False,NEVER
AMT,0.0,False,NEVER
AMY2B,0.0,False,NEVER
AMZ2,0.0,False,NEVER
ANAPC10,0.0,False,NEVER
ANAPC11,0.0,False,NEVER
ANAPC13,0.0,False,NEVER
ANAPC15,0.0,False,NEVER
ANAPC16,0.0,False,NEVER
ANAPC5,0.0,False,NEVER
ANAPC7,0.0,False,NEVER
ANGEL1,0.0,False,NEVER
ANGEL2,0.0,False,NEVER
ANGPT2,0.0,False,NEVER
ANGPTL4,0.0,False,NEVER
ANGPTL6,0.0,False,NEVER
ANHX,0.0,False,NEVER
ANK1,0.0,False,NEVER
ANK3,0.0,False,NEVER
ANKAR,0.8333,True,BOUNDARY
ANKDD1A,0.0,False,NEVER
ANKEF1,0.0,False,NEVER
ANKFY1,0.0,False,NEVER
ANKH,0.0,False,NEVER
ANKHD1-EIF4EBP3,0.0,False,NEVER
ANKK1,0.0,False,NEVER
ANKLE1,0.0,False,NEVER
ANKLE2,0.0,False,NEVER
ANKMY1,0.0,False,NEVER
ANKMY2,0.0,False,NEVER
ANKRA2,0.0,False,NEVER
ANKRD10,0.0667,False,FRAGILE
ANKRD11,0.6,True,BOUNDARY
ANKRD12,0.0,False,NEVER
ANKRD13A,0.0,False,NEVER
ANKRD13B,0.0,False,NEVER
ANKRD13C,0.0,False,NEVER
ANKRD13C-DT,0.0,False,NEVER
ANKRD13D,0.0,False,NEVER
ANKRD16,0.0,False,NEVER
ANKRD17,0.2667,False,BOUNDARY
ANKRD18A,0.0,False,NEVER
ANKRD23,0.0,False,NEVER
ANKRD26,0.0,False,NEVER
ANKRD27,0.0,False,NEVER
ANKRD28,0.0,False,NEVER
ANKRD31,0.0,False,NEVER
ANKRD33B,0.0,False,NEVER
ANKRD36,0.0,False,NEVER
ANKRD36B,0.0,False,NEVER
ANKRD36C,0.0,False,NEVER
ANKRD37,0.0,False,NEVER
ANKRD39,0.0,False,NEVER
ANKRD40,0.3333,False,BOUNDARY
ANKRD42,0.0,False,NEVER
ANKRD44,0.0,False,NEVER
ANKRD46,0.0,False,NEVER
ANKRD49,0.0,False,NEVER
ANKRD52,0.0,False,NEVER
ANKRD54,0.0,False,NEVER
ANKRD6,0.0,False,NEVER
ANKRD61,1.0,True,CORE
ANKRD9,0.0,False,NEVER
ANKS1A,0.0,False,NEVER
ANKS3,0.0,False,NEVER
ANKS6,0.0,False,NEVER
ANKZF1,0.0,False,NEVER
ANO10,0.0,False,NEVER
ANO6,0.0,False,NEVER
ANO8,0.0,False,NEVER
ANO9,0.0,False,NEVER
ANP32A,0.0,False,NEVER
ANP32B,0.8333,True,BOUNDARY
ANP32E,0.0,False,NEVER
ANPEP,0.0,False,NEVER
ANTKMT,0.0,False,NEVER
ANTXR2,0.0,False,NEVER
ANXA1,0.0,False,NEVER
ANXA11,0.0,False,NEVER
ANXA2,0.0,False,NEVER
ANXA2R,0.0,False,NEVER
ANXA3,0.0,False,NEVER
ANXA4,0.0,False,NEVER
ANXA5,0.0,False,NEVER
ANXA6,0.1667,False,BOUNDARY
ANXA7,0.0,False,NEVER
ANXA9,0.0,False,NEVER
AOAH,0.0,False,NEVER
AOC2,0.0,False,NEVER
AOC3,0.0,False,NEVER
AOPEP,0.0,False,NEVER
AP1AR,0.0,False,NEVER
AP1B1,0.0,False,NEVER
AP1G1,0.0,False,NEVER
AP1G2,0.0,False,NEVER
AP1M1,0.0,False,NEVER
AP1S1,0.0,False,NEVER
AP1S2,0.8333,True,BOUNDARY
AP1S3,0.0,False,NEVER
AP2A1,0.1,False,BOUNDARY
AP2A2,0.0,False,NEVER
AP2B1,0.0,False,NEVER
AP2S1,0.0,False,NEVER
AP3B1,0.0,False,NEVER
AP3D1,0.5,True,BOUNDARY
AP3M1,0.0,False,NEVER
AP3M2,0.0,False,NEVER
AP3S1,0.0,False,NEVER
AP3S2,0.0,False,NEVER
AP4B1,0.0,False,NEVER
AP4E1,0.0,False,NEVER
AP4M1,0.0,False,NEVER
AP4S1,0.0,False,NEVER
AP5B1,0.0,False,NEVER
AP5M1,0.0,False,NEVER
AP5S1,0.0,False,NEVER
AP5Z1,0.0,False,NEVER
APAF1,0.0,False,NEVER
APBA1,0.0,False,NEVER
APBA2,0.0,False,NEVER
APBA3,0.0,False,NEVER
APBB1,0.0,False,NEVER
APBB1IP,0.2,False,BOUNDARY
APBB2,0.0,False,NEVER
APBB3,0.0,False,NEVER
APC,0.1667,False,BOUNDARY
APEH,0.0,False,NEVER
APEX1,0.0,False,NEVER
APEX2,0.0,False,NEVER
APH1A,0.0,False,NEVER
APH1B,0.0,False,NEVER
API5,0.0,False,NEVER
APIP,0.0,False,NEVER
APLF,0.0,False,NEVER
APLP1,0.0,False,NEVER
APLP2,0.0,False,NEVER
APMAP,0.4,False,BOUNDARY
APOA1,0.0,False,NEVER
APOA4,0.0,False,NEVER
APOBEC2,0.0,False,NEVER
APOBEC3A,0.0,False,NEVER
APOBEC3B,1.0,True,CORE
APOBEC3C,0.0,False,NEVER
APOBEC3D,0.0,False,NEVER
APOBEC3F,0.0,False,NEVER
APOBEC3G,0.8333,True,BOUNDARY
APOBEC3H,0.0,False,NEVER
APOBR,0.0,False,NEVER
APOC1,0.0,False,NEVER
APOC3,0.0,False,NEVER
APOD,0.0,False,NEVER
APOE,0.0,False,NEVER
APOL1,0.0,False,NEVER
APOL2,0.0,False,NEVER
APOL3,0.0,False,NEVER
APOL6,0.0,False,NEVER
APOLD1,0.0,False,NEVER
APOM,0.0,False,NEVER
APOO,0.0,False,NEVER
APOOL,0.0,False,NEVER
APP,0.0,False,NEVER
APPBP2,0.2,False,BOUNDARY
APPL2,1.0,True,CORE
APRT,0.0,False,NEVER
APTX,0.0,False,NEVER
AQP1,0.0,False,NEVER
AQP11,0.0,False,NEVER
AQP3,0.0,False,NEVER
AQP5,0.0,False,NEVER
AQP9,0.0,False,NEVER
AR,0.0,False,NEVER
ARAF,0.0,False,NEVER
ARAP1,0.0,False,NEVER
ARAP2,0.0,False,NEVER
ARAP3,0.0,False,NEVER
ARB2A,0.0,False,NEVER
ARC,0.0,False,NEVER
AREG,0.0,False,NEVER
AREL1,0.0,False,NEVER
ARF1,1.0,True,CORE
ARF3,0.0,False,NEVER
ARF4,0.6667,True,BOUNDARY
ARF5,0.0,False,NEVER
ARF6,0.0,False,NEVER
ARFGAP1,0.0,False,NEVER
ARFGAP2,0.0,False,NEVER
ARFGAP3,0.0,False,NEVER
ARFGEF1,0.2,False,BOUNDARY
ARFGEF2,0.0,False,NEVER
ARFIP1,0.0,False,NEVER
ARFIP2,0.0,False,NEVER
ARFRP1,0.0,False,NEVER
ARG1,0.0,False,NEVER
ARG2,0.0,False,NEVER
ARGFX,0.0,False,NEVER
ARGLU1,0.3333,False,BOUNDARY
ARHGAP1,0.0,False,NEVER
ARHGAP10,0.0,False,NEVER
ARHGAP11A,0.0,False,NEVER
ARHGAP11B,0.0,False,NEVER
ARHGAP12,0.0,False,NEVER
ARHGAP15,0.0,False,NEVER
ARHGAP17,0.0,False,NEVER
ARHGAP18,0.0,False,NEVER
ARHGAP19,0.0,False,NEVER
ARHGAP21,0.0,False,NEVER
ARHGAP24,0.0,False,NEVER
ARHGAP25,0.0,False,NEVER
ARHGAP26,0.0,False,NEVER
ARHGAP27,0.5,True,BOUNDARY
ARHGAP30,1.0,True,CORE
ARHGAP31,0.0,False,NEVER
ARHGAP32,0.0,False,NEVER
ARHGAP33,0.0,False,NEVER
ARHGAP45,0.5,True,BOUNDARY
ARHGAP5,0.0,False,NEVER
ARHGAP6,0.0,False,NEVER
ARHGAP9,0.0,False,NEVER
ARHGDIA,0.0,False,NEVER
ARHGDIB,0.0,False,NEVER
ARHGEF1,0.0,False,NEVER
ARHGEF10,0.0,False,NEVER
ARHGEF11,0.0,False,NEVER
ARHGEF12,0.0,False,NEVER
ARHGEF18,0.0,False,NEVER
ARHGEF19,0.0,False,NEVER
ARHGEF2,0.0,False,NEVER
ARHGEF3,0.0,False,NEVER
ARHGEF39,0.0,False,NEVER
ARHGEF40,0.0,False,NEVER
ARHGEF5,0.1667,False,BOUNDARY
ARHGEF6,0.0,False,NEVER
ARHGEF7,0.0,False,NEVER
ARHGEF9,0.0,False,NEVER
ARID1A,0.1667,False,BOUNDARY
ARID1B,0.0,False,NEVER
ARID2,1.0,True,CORE
ARID3A,0.0,False,NEVER
ARID3B,0.0,False,NEVER
ARID3C,0.0,False,NEVER
ARID4A,0.0,False,NEVER
ARID4B,0.6667,True,BOUNDARY
ARID5A,0.0,False,NEVER
ARID5B,0.0,False,NEVER
ARIH1,0.8333,True,BOUNDARY
ARIH2,0.0,False,NEVER
ARIH2OS,0.0,False,NEVER
ARK2N,0.0,False,NEVER
ARL1,0.8333,True,BOUNDARY
ARL10,0.0,False,NEVER
ARL13A,0.0,False,NEVER
ARL13B,0.0,False,NEVER
ARL14,0.0,False,NEVER
ARL14EP,0.1667,False,BOUNDARY
ARL15,0.0,False,NEVER
ARL16,0.0,False,NEVER
ARL17A,0.0,False,NEVER
ARL17B,0.0,False,NEVER
