landmark_gene,SENP5,PLCG1,CCNC,PMVK
SPEN,-0.079155505,0.08756428,0.18252876,-0.24000001
PDHX,0.32421258,-0.22605848,-0.4944682,-0.77555
DENND2D,0.49924088,-0.18020001,0.35483038,-0.18090001
CTTN,0.050357953,-0.356225,-0.43040198,-0.4432
UBR7,0.16469775,-0.07779558,0.56242156,-0.37725002
CD44,-0.036926284,0.20419581,0.35726994,0.61265004
VAV3,0.004325323,0.1306321,0.5876875,2.40055
ABHD6,0.11644585,0.18504664,0.7690135,0.519
CAB39,0.080112845,0.048155963,-0.29463238,-1.1595
TIAM1,-0.1360428,0.07879195,-0.09964354,-0.067499995
DNM1L,0.108218506,-0.14952302,-0.05309912,0.055350006
DERA,0.4561261,-0.07340657,0.056163196,-0.81785
PTPRK,-0.08287325,0.10469478,0.5335725,0.32654998
HERC6,0.13560253,0.28707707,-0.018833648,0.55880004
ACOT9,0.25511152,-0.42446613,-0.8043224,-0.51825
ST3GAL5,0.24244344,0.018354634,-0.16063134,0.13545
CTNNAL1,-0.01844303,-0.1321325,-0.24105872,-0.54829997
ABHD4,0.21798173,-0.3053147,0.3894166,0.20269999
INPP4B,-0.019500777,-0.3245443,-0.066693775,0.15135002
ZMIZ1,-0.5577184,0.0015304461,0.22756717,0.24994999
PPARG,0.2707829,0.12318522,-0.030564565,0.18295
RPP38,-0.063123,-0.17143844,0.24252754,-0.28055
CAST,0.07519709,-0.24685723,-0.117758445,0.15485
BAG3,-0.52950823,-0.035592653,-0.11127875,-0.15184999
GNA11,-0.21212319,-0.06707221,0.13951713,0.41535
TOR1A,-0.41514903,0.58441997,0.0592262,-0.8272
SLC25A13,0.6218356,0.12575686,-0.5064223,-0.15005
TSPAN4,-0.15894899,-0.09481277,-0.46650672,0.55375004
NR3C1,-0.020170271,0.25628978,0.3149941,-0.18585
TRIB3,0.03169302,0.11684812,0.1469934,0.3685
JADE2,0.021761127,0.2218,-0.10005884,-0.26224998
CXCR4,0.07283434,0.07952195,0.39805543,1.0552
FKBP14,0.272343,-0.040421233,1.146791,-0.36625
CIAPIN1,0.22008745,0.14012158,0.2178073,0.14535
COG7,-0.0092570335,0.21640551,0.46064872,-0.015700005
TUBB6,-0.3882889,0.0218831,-0.8765042,-0.55215
ABL1,-0.23831297,0.19510001,0.31075463,0.46075
CCNF,0.2776534,0.03579911,-0.43494868,0.2227
FAM57A,-0.2743805,-0.02245,0.007990275,-0.68015003
EVL,0.28735465,0.13846616,-0.12441789,0.13439998
GPER1,0.3768831,0.32192796,-0.009551898,0.018
EAPP,0.32311976,0.31277767,-0.044961575,-0.4714
EXT1,-0.14610493,0.16430001,0.14358312,0.48264998
POLE2,0.051586602,0.23893324,-0.018456524,0.47595
C2CD2,0.15465559,-0.055052802,-0.6571085,0.34219998
ANKRD10,-0.07839422,-0.27195135,0.11353526,-0.31835
DDX10,0.197095,0.25653702,-0.6570764,-0.100900024
CEP57,0.0142937,0.058413357,0.2438192,0.12900001
RAB31,-0.43535587,0.034506276,0.34517378,0.18155
ABCC5,-0.35669023,0.25484538,-0.329412,-0.33179998
RFC5,-0.1477184,0.036623873,0.42068014,-0.78225
HES1,-0.025584057,0.272475,0.4353655,-0.50615
KLHL9,0.14562528,0.18574001,0.35233092,0.82105005
UBE2J1,-0.011414596,0.149825,0.42662987,-0.28045005
SLC37A4,-0.023918163,0.18190382,-0.3393524,0.46754998
NPRL2,-0.024978308,0.078920715,0.30309033,0.044400007
PWP1,-0.37109143,0.054634914,-0.5730599,0.14055002
PLEKHM1,-0.047786705,-0.12181674,0.29324943,1.0641
VAT1,0.2657188,-0.34995544,-0.8675854,0.19209999
KIF20A,-0.31894654,-0.078960806,-0.5183041,-0.59870005
CDH3,0.34335107,0.12146436,0.7953346,0.65185
SSBP2,0.055750303,0.1749551,0.64494574,0.11915001
SNX11,0.54388654,-0.41632134,0.1970186,-0.5878
SFN,-0.300725,-0.37765902,-0.278504,-0.16745
RFX5,0.10412996,0.16261043,-0.36521488,0.16115001
PKIG,-0.11316712,0.2579048,0.2182876,-0.2067
FSD1,-0.0003340263,0.40005064,0.041997045,0.74549997
ATP6V1D,-0.25746605,0.025247775,-1.0430453,-0.7144
CDC45,-0.30769974,0.24063066,-0.07547879,0.20809999
EDEM1,-0.18549669,-0.02242181,0.2511323,-0.01715
USP6NL,0.41751224,0.28346837,0.9212876,-0.37799996
NT5DC2,-0.2609678,0.028122474,-0.48003656,-0.0431
CCP110,0.3377058,0.117941424,0.3579217,0.2596
STK10,0.15630156,-0.108902395,-0.012116147,0.48639998
UGDH,0.06726108,0.020464316,-0.4029848,-0.1544
SQRDL,0.18639535,-0.17844999,-0.073186114,0.37455
HEBP1,0.02407552,0.0016808584,0.201463,-0.94095
ATP11B,-0.20871526,0.1965169,0.51336104,1.3303499
CD320,0.28607225,0.2428903,-0.18101558,-0.1294
MLLT11,0.07911525,-0.55393994,-0.29522026,-0.20670001
CEBPZ,0.3738156,0.081088856,0.3930207,0.36139998
CBR3,-0.0456673,0.13978602,-0.2985955,0.06099999
