landmark_gene,SENP5,PLCG1,CCNC,PMVK
HN1L,0.06253213,-0.26775444,-0.1487083,-0.5695
RRAGA,-0.15089004,-0.3266286,-0.043423735,-0.1859
ELOVL6,0.24439685,0.026889104,0.08456331,0.6486
ACBD3,-0.18461105,-0.39972225,0.13870972,-0.061150003
PMAIP1,-0.43146402,0.41160375,0.31273186,0.13225001
TWF2,-0.19670275,-0.07140471,-1.052554,0.17050001
HDAC6,-0.14849547,-0.37356645,-0.23014623,0.57095003
PXN,0.16363762,-0.11743815,0.3160539,0.58720005
PHKB,0.10066956,-0.485425,0.034281235,-0.018150002
CASC3,0.09559737,0.07772393,0.19589019,0.047750026
MLEC,0.13500078,-0.0798634,0.04313408,-0.6063
USP22,-0.7701842,-0.40929407,-1.485733,-0.1498
TMED10,0.0616194,0.25810087,0.14731386,-0.63715
CHERP,-0.051581565,0.10502586,0.10059144,0.19749999
TRAPPC6A,0.48281854,0.22227776,0.72400975,0.41619998
ATP2C1,-0.17605898,0.19776292,0.6194492,-0.19510001
USP14,0.35661447,0.044863492,-0.2858731,-0.24130002
APPBP2,0.23049062,0.18408865,0.5086848,0.16225001
ECH1,0.10512467,-0.248275,0.13450384,0.07265
HDAC2,0.0620371,0.100774996,-0.33567172,-0.8355
MRPL19,-0.24441078,0.06669555,-0.48383987,-0.52545
CSNK2A2,0.13445422,-0.019515172,0.60651296,0.44215
KIAA0100,0.2443273,-0.5990143,-0.7263184,-0.30325
PAICS,-0.18854868,-0.46102694,-0.43387485,-0.74380004
CDK2,-0.25040916,0.022961631,0.99914503,0.21845001
EFCAB14,0.08681667,0.28854316,0.66400385,0.37255
WRB,-0.36503443,-0.3389,0.119299985,-0.43135
ETFB,0.10645598,-0.8269377,-1.2928014,-0.2579
CAMSAP2,-0.06236265,0.019904912,0.06858631,0.2708
ARNT2,-0.34026963,0.33254033,-0.045207754,0.23755
SPAG7,-0.21386664,-0.12604095,-0.2887711,-0.28425
MAPK1IP1L,-0.36673287,0.0028108023,0.67391104,-0.09285
MSH6,0.33600196,0.15762778,-0.43020597,0.027999997
UBE2C,-0.2382805,-0.13987362,-0.33950493,-0.79525
HS2ST1,0.3756498,-0.07846277,0.83997846,-0.16535
TXLNA,-0.027139056,0.13608232,0.13026927,0.89390004
DNAJB1,-0.13859528,0.5657357,0.06629867,0.39205
TOPBP1,-0.0761625,-0.07987426,0.31283864,0.44025
ABCF1,0.15149632,0.3805895,0.5441611,0.94235003
LGMN,-0.107101284,-0.10073416,0.4989197,0.022799999
MBTPS1,-0.12729743,-0.5818634,0.123985365,0.12555002
ZNF274,0.24533203,0.4547581,0.29222995,0.62465
CLIC4,-0.45993108,0.0074593425,-0.28027695,-0.16094999
HSD17B10,-0.20770836,-0.13317925,0.45165086,0.039899997
STX1A,-0.066866286,0.009600003,0.014512325,0.76884997
CCNA2,-0.35271716,0.12780437,-0.42029792,-0.66585004
SDHB,0.16309953,-0.11404752,-0.55670977,-1.2687
FOXO4,0.46590248,-0.09673444,0.64057815,0.46074998
TOMM34,-0.20182768,-0.30944198,0.03164342,-0.40945
KIAA0907,0.89059335,0.090792075,0.7317679,0.14275
HK1,-0.68276197,0.058225,-0.38982052,-0.106050014
PAPD7,-0.092860445,-0.2993176,0.11851542,0.73144996
PLOD3,-0.09295207,0.018493565,0.16767322,0.46864998
TRAK2,0.21235804,0.08326078,-0.6107397,-0.028449982
VAPB,0.2977515,0.155075,-0.49740553,-0.64594996
BUB1B,-0.34498617,-0.18356533,0.5201522,0.58025
MRPL12,0.39531368,0.18200698,-0.68326616,-0.6585
PNP,-0.3379346,0.03551704,-0.19627292,-0.81075
USP1,0.06568962,-0.045957524,-0.3595029,0.07395002
RPA1,-1.686755,0.029650006,-0.35344496,-0.60275
